protein name	count
A6RP	1
ARP2/3 protein complex subunit p21	1
ATP citrate lyase	1
ATP1A1	1
Actin gamma 1	2
Aldolase 3	1
Annexin VI	1
Ataxin 2 domain protein	1
BLK	1
CD28	5
CD3 gamma	1
CD31	1
CD7	1
CRKL	1
Cask-interacting protein 2	1
CblB	1
Clathrin, heavy polypeptide	1
Cofilin 1	1
Coronin 1C	1
Cyclin dependent kinase 5	1
Cytoskeleton associated protein 1	1
DDX3	3
DYRK1B	1
Dedicator of cytokinesis 2	1
Docking protein 1	3
Docking protein 2, 56kDa	1
Dual-specificitytyrosine phosphorylation-regulated kinase 2	1
ERK1	3
ERK2	2
Elongation protein 3	1
Enolase 2	1
Erbin	1
FYB	3
Filamin B	1
Fyn	1
GIT1	1
GRID	1
Glucocorticoid receptor DNA binding factor 1	1
Glutathione S transferase 3	1
Glycogen debranching enzyme	1
Grb4	1
HSP90A	1
Hematopoietic cell specific LYN substrate 1	1
Heterogeneous nuclear ribonucleoprotein U	1
ITK	1
Intersectin 2	2
LAT like membrane associated protein	1
Lactate dehydrogenase A	1
Laminin receptor 1	1
Lck	2
Leucyl cystinyl aminopeptidase	1
Lymphocyte antigen 9	1
MAPK14	3
MBC2	1
MCM3	2
Myotubularin related protein 10	1
NCK1	1
NTBA	1
PAG	2
PDZ and LIM domain 1	1
PI 3 kinase, regulatory subunit beta	1
PLC, gamma 2	2
PRP4 pre-mRNA processing factor 4 homolog B	2
PTK2B protein tyrosine kinase 2 beta	1
Phosphatidylinositol 3 kinase regulatory subunit, alpha	2
Phospholipase C like 2	1
Phospholipase C, gamma 1	3
Poly(rC) binding protein 2	1
Protein tyrosine phosphatase, non-receptor type 11	1
Protein tyrosine phosphatase, non-receptor type 6	1
Putative translation initiation factor	1
Pyruvate kinase 3	2
RasGAP	1
SEC16 homolog A	1
SERPINE1 mRNA binding protein 1	1
SH3 protein expressed in lymphocytes	1
SHC (Src homology 2 domain containing) transforming protein 1	1
SIT	2
SRp30c	1
Septin 9	1
Signal recognition particle 14 kDa	1
Splicing factor, proline and glutamine rich	1
T cell antigen receptor, zeta	6
TBC1 domain family member 15 (Fragment)	1
Thioredoxin reductase 1	1
Tyrosine-protein kinase PRAG1	1
Uridine 5`-monophosphate synthase	1
VAV1	3
VAV3	2
Vacuolar protein sorting 35	1
WD repeat protein 1	1
Wiskott-Aldrich syndrome-like	1
Wiskott-aldrich syndrome protein	1
ZAP70	4
Zinc finger protein 598	1
