protein name	count
ABL interactor 1	1
ABL interactor 2	1
BLK	1
CBL	1
CD28	2
CblB	1
Cortactin	1
Dedicator of cytokinesis 2	1
Docking protein 1	1
Docking protein 2, 56kDa	1
ERK1	1
ERK2	1
Engulfment and cell motility 2	1
FYB	2
Glycogen debranching enzyme	1
ITK	1
MAPK14	1
Myotubularin related protein 10	1
NCK1	1
PI 3 kinase, regulatory subunit beta	1
PLC, gamma 2	1
Phospholipase C like 2	1
Phospholipase C, gamma 1	3
Protein tyrosine phosphatase, non-receptor type 11	1
Protein tyrosine phosphatase, non-receptor type 6	1
Pyruvate kinase 3	1
SIT	2
T cell antigen receptor, zeta	2
Tyrosine-protein kinase PRAG1	1
Wiskott-Aldrich syndrome-like	1
ZAP70	2
