id	fdr.pvalue.bcell_rep1_0min	fdr.pvalue.bcell_rep2_0min	fdr.pvalue.bcell_rep3_0min	fdr.pvalue.bcell_rep4_0min	fdr.pvalue.bcell_rep5_0min	fdr.pvalue.bcell_rep1_2min	fdr.pvalue.bcell_rep2_2min	fdr.pvalue.bcell_rep3_2min	fdr.pvalue.bcell_rep4_2min	fdr.pvalue.bcell_rep5_2min	fdr.pvalue.bcell_rep1_5min	fdr.pvalue.bcell_rep2_5min	fdr.pvalue.bcell_rep3_5min	fdr.pvalue.bcell_rep4_5min	fdr.pvalue.bcell_rep5_5min	bcell_rep1_0min	bcell_rep2_0min	bcell_rep3_0min	bcell_rep4_0min	bcell_rep5_0min	bcell_rep1_2min	bcell_rep2_2min	bcell_rep3_2min	bcell_rep4_2min	bcell_rep5_2min	bcell_rep1_5min	bcell_rep2_5min	bcell_rep3_5min	bcell_rep4_5min	bcell_rep5_5min
PERT-PSP_EGF	0.9726791022272	0.760764935790062	0.9726791022272	0.9726791022272	NA	0.9726791022272	NA	NA	0.9726791022272	0.9726791022272	0.830188973918476	0.9726791022272	0.9726791022272	0.858876884086968	NA	-0.1155	0.6934	-0.0963	-0.104	NA	-0.1566	NA	NA	-0.2443	-0.0811	0.5826	0.1982	-0.1839	-0.4964	NA
PERT-PSP_ANTI_CD3	0.0128311425682508	0.018726855107111	0.0128311425682508	0.0128311425682508	0.0128311425682508	0.0128311425682508	0.0128311425682508	0.0115977791486737	0.0115977791486737	0.0115977791486737	0.0128311425682508	0.0128311425682508	0.0133644222020018	0.0128311425682508	0.0128311425682508	3.3081	3.2527	3.3127	3.2461	3.2661	3.3139	3.3541	3.3761	3.4316	3.4318	3.3146	3.3888	3.17	3.2931	3.2778
PATH-NP_TSLP_PATHWAY	0.501517173650282	0.247672907465714	0.487174660868436	0.516950261001914	0.509270270758087	0.506523779251052	0.281887531531257	0.292149791533522	0.497331143502361	0.247672907465714	0.249868342057866	0.272314533357907	0.423615035496062	0.506523779251052	0.292149791533522	1.2258	1.9062	1.2373	1.128	1.143	1.1867	1.7634	1.7083	1.2361	1.9102	1.8992	1.7961	1.3752	1.1669	1.7526
PATH-NP_PROLACTIN_PATHWAY	0.9726791022272	0.384517195767196	0.391330891330891	0.172688863256393	0.361135414314744	0.9726791022272	0.501517173650282	0.220087241135224	0.239425318208146	0.188625225045009	0.138352513628104	0.0983757727155187	0.0399384236453202	0.142721079288243	0.141552941176471	0.1932	1.449	1.4386	2.2543	1.5314	0.1176	1.2235	2.01	1.98	2.1485	2.4196	2.7391	3.2188	2.3601	2.4527
PATH-NP_FGF1_PATHWAY	0.330254968881751	0.141607350155801	0.214937006025511	0.308558084430367	0.161902911249293	0.969867318435754	0.753078560192468	0.591074131564486	0.9726791022272	0.9726791022272	0.161560428712452	0.275657702313696	0.247672907465714	0.372254695119842	0.0848205333868057	1.6316	2.3689	2.0219	1.6874	2.2778	0.2805	0.7226	0.9922	-0.0955	0.0793	2.269	1.7903	1.9102	1.51	2.7159
PATH-NP_EGFR1_PATHWAY	0.379570009822111	0.084464856230032	0.146244268141786	0.172688863256393	0.134437687323558	0.296215562358053	0.101078167115903	0.107031562125449	0.0786990054800081	0.0420552069557388	0.0420552069557388	0.0852994555353902	0.0128311425682508	0.0415247841852418	0.0128311425682508	1.483	2.8546	2.3931	2.2758	2.4576	1.7342	2.6898	2.6465	2.8632	3.0901	3.2179	2.9018	3.866	3.3182	3.9502
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.249868342057866	0.171926826137768	0.219951373782059	0.239425318208146	0.220526147732917	0.227847195513537	0.175449567013435	0.10493023255814	0.126549380247901	0.0916402063901568	0.142415048774098	0.107031562125449	0.172688863256393	0.124861091818308	0.161902911249293	1.8775	2.2012	2.0288	1.9734	2.0232	2.0225	2.1867	2.5568	2.4032	2.6547	2.3455	2.5408	2.2167	2.4434	2.2742
KINASE-PSP_Src/SRC	0.129491243961353	0.0128311425682508	0.0248726599192962	0.0316262445010419	0.018726855107111	0.018726855107111	0.018726855107111	0.0128311425682508	0.0326722551625434	0.0115977791486737	0.0372818614489688	0.0326722551625434	0.0115977791486737	0.0128311425682508	0.018726855107111	2.4956	3.9492	3.2427	3.248	3.5179	3.3959	3.6097	3.7208	3.2095	4.0524	3.1236	3.2952	4.1572	3.6153	3.5623
KINASE-PSP_EGFR	NA	0.830188973918476	NA	0.692104224240032	0.835577121618831	0.624088561738862	NA	NA	0.9726791022272	0.9726791022272	NA	0.900064563030294	0.899571800425219	0.9726791022272	0.984796959391878	NA	-0.5561	NA	-0.8653	-0.5213	-0.942	NA	NA	-0.26	-0.1931	NA	0.3939	-0.418	0.0953	-0.0275
DISEASE-PSP_neuroblastoma	0.984796959391878	0.384517195767196	0.830188973918476	0.820322773460849	0.9726791022272	0.334191612588096	0.509270270758087	0.835577121618831	0.828978378378378	0.9726791022272	0.9726791022272	0.9726791022272	0.506523779251052	0.701969799191916	0.80208592553268	-0.038	1.4735	0.539	0.6014	0.0825	-1.616	-1.1539	-0.5314	-0.5689	-0.0786	-0.1946	0.1801	1.1934	0.8077	0.6289
