id	fdr.pvalue.2min_vs_0min	fdr.pvalue.5min_vs_0min	fdr.pvalue.5min_vs_2min	2min_vs_0min	5min_vs_0min	5min_vs_2min
PERT-PSP_EGF	0.824717052453695	0.418141592920354	0.772822612864563	-0.49	-1.508	-0.6906
PERT-PSP_ANTI_CD3	0.824717052453695	0.21671044655486	0.0327836280548381	-0.476	-2.1721	-3.119
PATH-NP_TSLP_PATHWAY	0.976815582583683	0.330362686730706	0.0480769230769231	0.0883	-1.9448	-2.9004
PATH-NP_PROLACTIN_PATHWAY	0.824717052453695	0.21671044655486	0.399200799200799	-0.4932	2.4971	1.6141
PATH-NP_FGF1_PATHWAY	0.471935609686913	0.391173520561685	0.399200799200799	-1.4235	1.7387	1.5696
PATH-NP_EGFR1_PATHWAY	0.685289389067524	0.566440090630414	0.342004821213339	-0.9951	1.1965	1.7723
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.933557790658029	0.21671044655486	0.286716991127003	0.2077	-2.3015	-2.1053
KINASE-PSP_Src/SRC	0.21671044655486	0.576401517119551	0.0180360721442886	2.083	-1.1672	-3.3343
KINASE-PSP_EGFR	0.772822612864563	0.995208624475943	0.7129644741853	0.6393	0.0099	0.8282
DISEASE-PSP_neuroblastoma	0.685289389067524	0.1065	0.326139088729017	-1.0136	2.8282	1.753
