id	fdr.pvalue.2min_vs_0min	fdr.pvalue.5min_vs_0min	fdr.pvalue.5min_vs_2min	2min_vs_0min	5min_vs_0min	5min_vs_2min
PERT-PSP_EGF	0.835662253172676	0.396820731090757	0.734607051408312	-0.4432	-1.513	-0.7567
PERT-PSP_ANTI_CD3	0.844480293966077	0.264768359295974	0.0456389452332657	-0.446	-2.1218	-3.1241
PATH-NP_TSLP_PATHWAY	0.914331465172138	0.332465451632285	0.0617529880478088	0.1456	-1.8313	-2.9764
PATH-NP_PROLACTIN_PATHWAY	0.734607051408312	0.221863654699476	0.332465451632285	-0.744	2.4928	1.6676
PATH-NP_FGF1_PATHWAY	0.396820731090757	0.332465451632285	0.332465451632285	-1.5591	1.7285	1.6441
PATH-NP_EGFR1_PATHWAY	0.590659340659341	0.458546571136131	0.294058811762352	-1.1433	1.3831	1.841
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.914331465172138	0.243301332569136	0.294058811762352	0.2297	-2.2823	-2.0978
KINASE-PSP_Src/SRC	0.221863654699476	0.590659340659341	0.018123238018526	2.1358	-1.0442	-3.4176
KINASE-PSP_EGFR	0.734607051408312	0.914331465172138	0.734607051408312	0.6592	0.1309	0.7738
DISEASE-PSP_neuroblastoma	0.590659340659341	0.109697455419756	0.294058811762352	-1.1829	2.8687	1.8033
