id	fdr.pvalue.tcell_rep1_0min	fdr.pvalue.tcell_rep2_0min	fdr.pvalue.tcell_rep3_0min	fdr.pvalue.tcell_rep4_0min	fdr.pvalue.tcell_rep5_0min	fdr.pvalue.tcell_rep1_2min	fdr.pvalue.tcell_rep2_2min	fdr.pvalue.tcell_rep3_2min	fdr.pvalue.tcell_rep4_2min	fdr.pvalue.tcell_rep5_2min	fdr.pvalue.tcell_rep1_5min	fdr.pvalue.tcell_rep2_5min	fdr.pvalue.tcell_rep3_5min	fdr.pvalue.tcell_rep4_5min	fdr.pvalue.tcell_rep5_5min	tcell_rep1_0min	tcell_rep2_0min	tcell_rep3_0min	tcell_rep4_0min	tcell_rep5_0min	tcell_rep1_2min	tcell_rep2_2min	tcell_rep3_2min	tcell_rep4_2min	tcell_rep5_2min	tcell_rep1_5min	tcell_rep2_5min	tcell_rep3_5min	tcell_rep4_5min	tcell_rep5_5min
PERT-PSP_VIRUS_INFECTION	0.713435646360983	0.84901544856549	0.1952043700284	0.766587732188215	0.741489546415549	0.145321894562675	0.081663342732045	0.0342804058250148	0.046264784610351	0.0268334617892927	0.046264784610351	0.033075439186638	0.00543185073571814	0.00645743877043289	0.0134055300361919	0.6659	-0.2997	1.9502	0.4764	0.5761	2.1596	2.5533	2.9969	2.7943	3.095	2.8799	3.0431	3.6493	3.5399	3.4045
PERT-PSP_VANADATE	0.675817521194994	0.49512681305927	0.273598042168471	0.290490994526384	0.580552388759347	0.032070011505875	0.044918469900523	0.00299979453462092	0.0146936193461196	0.0510668372660744	0.079181716616229	0.0198736023334954	0.0211281341428886	0.0301119023397762	0.0287852727559505	0.744	1.1021	1.6735	1.6021	0.9039	3.279	3.0467	4.2026	3.688	2.8863	2.6207	3.3597	3.484	3.1652	3.3018
PERT-PSP_UV	0.713435646360983	0.847083518949139	0.1952043700284	0.766587732188215	0.736621851371417	0.155083644361504	0.0876108225133693	0.0356721678904881	0.046264784610351	0.0235596651416052	0.048854766667168	0.0301119023397762	0.00645743877043289	0.010091802570472	0.0192125486893357	0.6707	-0.3009	1.9497	0.4774	0.5866	2.1394	2.4919	3.0089	2.8319	3.1477	2.8314	3.0583	3.6199	3.5262	3.399
PERT-PSP_TNF	0.713435646360983	0.844578590822027	0.189136172419755	0.766587732188215	0.735689928145171	0.15719707747823	0.079181716616229	0.0367096643018226	0.0437562437562438	0.02943757210973	0.0445419592109662	0.0353572046358761	0.00739465153970827	0.0085341993099249	0.0173104820711204	0.6647	-0.302	1.963	0.4786	0.5836	2.1312	2.5856	2.9932	2.8616	3.154	2.8872	3.0003	3.5501	3.5471	3.379
PERT-PSP_THROMBIN	0.306776446583656	0.716031303578743	0.0774226736469079	0.406991508463826	0.326077683189792	0.074443212101271	0.0621722867878739	0.0289392163192262	0.0408763211310982	0.0578067897925361	0.046264784610351	0.046264784610351	0.046264784610351	0.0301119023397762	0.0256290486764277	1.5735	0.6285	2.6067	1.3049	1.5043	2.5811	2.7638	3.225	3.0788	2.7031	2.9376	2.9185	2.9504	3.2092	3.2045
PERT-PSP_TGF_BETA	0.716031303578743	0.661782797795051	0.481876385563536	0.410776222452305	0.72244816150041	0.482431701745933	0.249816195040914	0.136024122609106	0.155754304636029	NA	0.157412779453856	0.117181468253748	0.032070011505875	0.0390652586329791	0.0508561004337959	0.6579	0.7736	1.1471	1.2991	0.6201	1.1391	1.7651	2.2735	2.0856	NA	2.1374	2.3148	2.9699	2.8821	2.7434
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.707138934263484	0.844578590822027	0.189136172419755	0.766587732188215	0.735689928145171	0.151591828155409	0.0708105286202658	0.0357622573544127	0.0495817737517811	0.0217880638221139	0.0455705643826436	0.037152619537281	0.0085341993099249	0.010091802570472	0.0155868927754633	0.6711	-0.3058	1.9522	0.4716	0.5838	2.1487	2.5495	3.0123	2.8532	3.1711	2.8618	3.0111	3.6427	3.4767	3.3792
PERT-PSP_PHORBOL_ESTER	0.707138934263484	0.846314037830807	0.19485408187476	0.766587732188215	0.735689928145171	0.17004593175853	0.152356047021319	0.0812421748761356	0.0986315981807318	0.0728630175270491	0.11186441629347	0.117485642441133	0.124649055116817	0.0750712561178694	0.0901460601662968	0.6702	-0.3015	1.9351	0.4852	0.5774	2.0579	2.1731	2.5941	2.3935	2.6799	2.3771	2.3369	2.3038	2.6465	2.506
PERT-PSP_PDGF	NA	NA	NA	NA	NA	0.305540869620943	0.325514569460922	NA	0.234680046270341	0.0815451604370562	0.245082814081057	0.196883477725713	0.212646195628367	0.258536942767836	0.247671067986304	NA	NA	NA	NA	NA	1.6077	1.5137	NA	1.8054	2.518	1.7671	1.9295	1.9084	1.7271	1.7535
PERT-PSP_PD98059	1	0.832147711629867	0.220628432970312	0.916904659406285	1	0.208616528259104	0.388858419010758	0.535767794141	0.481837453428053	0.613810886817488	0.455712096971254	0.521343729248847	0.800491954792557	0.757986163560013	0.727978459815436	NaN	-0.3535	-1.8391	-0.1629	NaN	-1.8878	-1.3755	-1.0236	-1.1643	-0.8565	-1.2118	-1.0553	-0.419	-0.5228	-0.608
