id	fdr.pvalue.2min_vs_0min	fdr.pvalue.5min_vs_0min	fdr.pvalue.5min_vs_2min	2min_vs_0min	5min_vs_0min	5min_vs_2min
PERT-PSP_VIRUS_INFECTION	0.0129464587131186	0.0472093403426054	0.44206264542087	3.3576	2.8078	1.2436
PERT-PSP_VANADATE	0.0059	0.0419887998755542	0.100812150617024	4.1065	2.9711	-2.3342
PERT-PSP_UV	0.0129464587131186	0.0496141669964385	0.44206264542087	3.3512	2.7952	1.2442
PERT-PSP_TNF	0.0129464587131186	0.0472093403426054	0.44206264542087	3.3397	2.8113	1.2039
PERT-PSP_THROMBIN	0.0129464587131186	0.0311732449877192	0.851171446121701	3.4434	3.1406	0.3238
PERT-PSP_TGF_BETA	0.0472093403426054	0.0916950999481949	0.100812150617024	2.5783	2.4426	2.3093
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.0129464587131186	0.0472093403426054	0.44206264542087	3.3676	2.8498	1.205
PERT-PSP_PHORBOL_ESTER	0.0129464587131186	0.0472093403426054	0.807919149371385	3.3874	2.8063	-0.4744
PERT-PSP_PDGF	NA	NA	0.67755464770798	NA	NA	-0.7557
PERT-PSP_PD98059	0.936386414893275	0.997376916868442	0.275315130680065	0.1486	0.0053	1.7299
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.0129464587131186	0.0472093403426054	0.44206264542087	3.3526	2.8417	1.2412
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	NA	NA	0.183997361630235	NA	NA	-1.8448
PERT-PSP_OKADAIC_ACID	0.0916950999481949	0.0916950999481949	0.544054812958978	2.2711	2.4052	1.051
PERT-PSP_LPS	0.0129464587131186	0.0330544838738429	0.186299053302506	3.4822	3.166	1.9752
PERT-PSP_LPA	0.0129464587131186	0.0472093403426054	0.44206264542087	3.4047	2.7975	1.224
PERT-PSP_INSULIN	0.0129464587131186	0.0472093403426054	0.44206264542087	3.4182	2.7677	1.2401
PERT-PSP_IL_2	0.0355207706201084	0.0377657004830918	0.825689006024096	2.8859	2.9176	-0.4253
PERT-PSP_IL_1B	0.0129464587131186	0.0472093403426054	0.44206264542087	3.3824	2.7915	1.2284
PERT-PSP_IL_1A	0.0129464587131186	0.0472093403426054	0.44206264542087	3.352	2.7357	1.2217
PERT-PSP_HEREGULIN	0.0916950999481949	0.0945177598319217	0.571498140062121	2.2722	2.4167	1.0195
PERT-PSP_H2O2	NA	NA	0.873910913036377	NA	NA	-0.27
PERT-PSP_GEFITINIB	0.0598244557812351	0.869189666124652	0.100572310045564	-2.4914	-0.284	2.2772
PERT-PSP_FIBRONECTIN	0.083952706006611	0.095441310141891	0.548865188931259	2.2749	2.3801	1.0449
PERT-PSP_ERLOTINIB	0.308887226864531	0.673468651595777	0.0330544838738429	-1.6268	0.7482	2.1111
PERT-PSP_EGF	0.0129464587131186	0.349058318012741	0.0270791261244722	3.698	1.5367	-3.1797
PERT-PSP_DASATINIB	0.0916950999481949	0.0916950999481949	0.550167390780631	-2.2838	-2.3708	-1.0338
PERT-PSP_CYCLIC_STRETCH	0.083952706006611	0.0945177598319217	0.548670090196853	2.2844	2.3386	1.036
PERT-PSP_CXCL12	0.0472093403426054	0.0472093403426054	0.962913435068996	2.7525	2.6997	-0.094
PERT-PSP_CISPLATIN	0.0129464587131186	0.0472093403426054	0.44206264542087	3.3563	2.8645	1.2035
PERT-PSP_BACTERIAL_INFECTION	0.0129464587131186	0.0472093403426054	0.44206264542087	3.3448	2.845	1.222
PERT-PSP_ANTI_IGM	0.0318102170103788	0.349058318012741	0.00792052624513358	2.9197	1.5347	-3.3538
PERT-PSP_ANTI_CD3	0.0059	0.00598498681274092	0.636519459568461	5.4917	4.5844	-0.7652
PERT-PSP_ANISOMYCIN	0.0129464587131186	0.0472093403426054	0.44206264542087	3.3774	2.786	1.235
PATH-WP_Non-small_cell_lung_cancer	0.0302437071608506	0.111384776955391	0.0472093403426054	2.8292	2.2758	-2.5255
PATH-NP_TWEAK_PATHWAY	0.0129464587131186	0.051588458175459	0.44206264542087	3.3409	2.7751	1.2319
PATH-NP_TSLP_PATHWAY	0.0129464587131186	0.0312668513732126	0.0663455255519929	3.5417	3.1816	2.6422
PATH-NP_TIE2_PATHWAY	0.0382299925778443	0.100572310045564	0.326744456668923	2.8466	2.4155	1.6272
PATH-NP_T_CELL_RECEPTOR_PATHWAY	0.0129464587131186	0.0472093403426054	0.44206264542087	3.4138	2.7886	1.2227
PATH-NP_PROLACTIN_PATHWAY	0.403908196721311	0.356509829197551	0.834441139160689	-1.3824	-1.521	0.4615
PATH-NP_OXYTOCIN_PATHWAY	0.0129464587131186	0.0472093403426054	0.44206264542087	3.356	2.7802	1.2359
PATH-NP_NOTCH_PATHWAY	0.00972652171523822	0.0129464587131186	0.19926333087777	3.9038	3.4835	1.9393
PATH-NP_LEPTIN_PATHWAY	0.00792052624513358	0.0129464587131186	0.122457451224575	3.6564	3.6703	2.2875
PATH-NP_KIT_RECEPTOR_PATHWAY	0.0567115232387199	0.265382368344927	0.403908196721311	2.527	1.7466	-1.4076
PATH-NP_IL33_PATHWAY	0.00598498681274092	0.0261207796177807	0.997376916868442	3.9136	3.2191	-0.0123
PATH-NP_EGFR1_PATHWAY	0.0281847133757962	0.172611640262289	0.401632165605096	3.3969	2.0513	-1.3812
PATH-NP_CRH_PATHWAY	0.0129464587131186	0.0472093403426054	0.44206264542087	3.3682	2.7759	1.2369
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.291802385750858	0.970016621479857	0.00598498681274092	1.7047	0.0768	-3.4905
PATH-NP_AGE_RAGE_PATHWAY	0.0129464587131186	0.0312668513732126	0.851199156091961	3.4226	3.183	0.3273
KINASE-PSP_ZAP70	0.44206264542087	0.789149395140458	0.396480379861442	1.2112	0.506	-1.4057
KINASE-PSP_Syk/SYK	0.154075275948648	0.789149395140458	0.0059	2.0693	0.4964	-3.6005
KINASE-PSP_Src/SRC	0.540626561030538	0.373364102564103	0.152750049711672	-0.9949	-1.4794	-2.1086
KINASE-PSP_Ret/RET	0.015096753558292	0.0657550882371026	0.758857376752387	3.1502	2.5862	-0.6044
KINASE-PSP_MEK1/MAP2K1	0.111473574370257	0.201671222965237	0.898776430067291	2.1441	1.8957	-0.2031
KINASE-PSP_LYN	0.35171416272062	0.617207790432553	0.851171446121701	1.5011	0.8663	-0.3619
KINASE-PSP_Lck/LCK	0.0377657004830918	0.414898035976954	0.00792052624513358	3.1562	1.343	-4.1078
