id	fdr.pvalue.2min_vs_0min	fdr.pvalue.5min_vs_0min	fdr.pvalue.5min_vs_2min	2min_vs_0min	5min_vs_0min	5min_vs_2min
PERT-PSP_VIRUS_INFECTION	0.0120876869493956	0.0484305227213029	0.455849069280157	3.3992	2.7786	1.2158
PERT-PSP_VANADATE	0.0120876869493956	0.0472567080496596	0.110322829016114	4.1594	2.9534	-2.2842
PERT-PSP_UV	0.0120876869493956	0.0474896532039389	0.455849069280157	3.3929	2.8054	1.2037
PERT-PSP_TNF	0.0120876869493956	0.0484305227213029	0.455849069280157	3.4603	2.787	1.1899
PERT-PSP_THROMBIN	0.0121249486230991	0.0260600706713781	0.862985074626866	3.4899	3.144	0.3031
PERT-PSP_TGF_BETA	0.0474896532039389	0.0927950868783703	0.106672280562711	2.6231	2.4385	2.3149
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.0120876869493956	0.0474896532039389	0.455849069280157	3.4319	2.8234	1.2142
PERT-PSP_PHORBOL_ESTER	0.0121249486230991	0.0474896532039389	0.79877166806413	3.3597	2.8058	-0.4883
PERT-PSP_PDGF	NA	NA	0.688505079980404	NA	NA	-0.7622
PERT-PSP_PD98059	0.911481881329177	0.981113320079523	0.279328578455485	0.1792	0.04	1.7141
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.0121249486230991	0.0474896532039389	0.455849069280157	3.3763	2.8097	1.2101
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	NA	NA	0.183305716652858	NA	NA	-1.8299
PERT-PSP_OKADAIC_ACID	0.0964205555036005	0.0980773082315241	0.55615174202724	2.3271	2.3404	1.013
PERT-PSP_LPS	0.0121249486230991	0.0287615283267457	0.20401891602867	3.4865	3.1707	1.9262
PERT-PSP_LPA	0.0142008985879332	0.0474896532039389	0.455849069280157	3.3907	2.8272	1.1976
PERT-PSP_INSULIN	0.0120876869493956	0.0474896532039389	0.455849069280157	3.4417	2.8691	1.199
PERT-PSP_IL_2	0.0346329553285069	0.0474896532039389	0.816314404549699	2.8763	2.8307	-0.4413
PERT-PSP_IL_1B	0.0120876869493956	0.0465725529675559	0.455849069280157	3.4014	2.8881	1.1775
PERT-PSP_IL_1A	0.0120876869493956	0.0448450730988943	0.455849069280157	3.4309	2.8804	1.2152
PERT-PSP_HEREGULIN	0.0973280194073817	0.103610527726887	0.555569505825633	2.2989	2.3829	1.0336
PERT-PSP_H2O2	NA	NA	0.877433738807834	NA	NA	-0.2762
PERT-PSP_GEFITINIB	0.0497786976335255	0.864819827729453	0.0973280194073817	-2.5406	-0.2856	2.3214
PERT-PSP_FIBRONECTIN	0.0974615935245857	0.0980773082315241	0.555569505825633	2.236	2.3581	1.0224
PERT-PSP_ERLOTINIB	0.331278698342983	0.730730599252094	0.0474896532039389	-1.5834	0.6152	2.101
PERT-PSP_EGF	0.0120876869493956	0.338802727871655	0.0142008985879332	3.6652	1.5657	-3.216
PERT-PSP_DASATINIB	0.093657045790032	0.0964205555036005	0.55615174202724	-2.2879	-2.3546	-1.0182
PERT-PSP_CYCLIC_STRETCH	0.095355320629276	0.106672280562711	0.55615174202724	2.2893	2.3304	1.0128
PERT-PSP_CXCL12	0.0469624098924876	0.0474896532039389	0.923493992696457	2.7973	2.6739	-0.1463
PERT-PSP_CISPLATIN	0.0120876869493956	0.0474896532039389	0.455849069280157	3.4456	2.868	1.2086
PERT-PSP_BACTERIAL_INFECTION	0.0120876869493956	0.0474896532039389	0.455849069280157	3.3897	2.8556	1.2025
