id	fdr.pvalue.bcell_rep1_0min	fdr.pvalue.bcell_rep2_0min	fdr.pvalue.bcell_rep3_0min	fdr.pvalue.bcell_rep4_0min	fdr.pvalue.bcell_rep5_0min	fdr.pvalue.bcell_rep1_2min	fdr.pvalue.bcell_rep2_2min	fdr.pvalue.bcell_rep3_2min	fdr.pvalue.bcell_rep4_2min	fdr.pvalue.bcell_rep5_2min	fdr.pvalue.bcell_rep1_5min	fdr.pvalue.bcell_rep2_5min	fdr.pvalue.bcell_rep3_5min	fdr.pvalue.bcell_rep4_5min	fdr.pvalue.bcell_rep5_5min	bcell_rep1_0min	bcell_rep2_0min	bcell_rep3_0min	bcell_rep4_0min	bcell_rep5_0min	bcell_rep1_2min	bcell_rep2_2min	bcell_rep3_2min	bcell_rep4_2min	bcell_rep5_2min	bcell_rep1_5min	bcell_rep2_5min	bcell_rep3_5min	bcell_rep4_5min	bcell_rep5_5min
PERT-PSP_EGF	0.971619234771553	0.793511888977283	0.971619234771553	0.971619234771553	NA	0.971619234771553	NA	NA	0.971619234771553	0.971619234771553	0.825930802247762	0.971619234771553	0.971619234771553	0.85450184972573	NA	-0.1137	0.6698	-0.0975	-0.1053	NA	-0.1572	NA	NA	-0.2439	-0.0816	0.5795	0.1964	-0.183	-0.4921	NA
PERT-PSP_ANTI_CD3	0.00969671962038374	0.0154573972879984	0.00969671962038374	0.0177602834087778	0.0108055292122884	0.00969671962038374	0.00969671962038374	0.00969671962038374	0.00990367248645394	0.00969671962038374	0.00990367248645394	0.00969671962038374	0.00969671962038374	0.00969671962038374	0.00969671962038374	3.2841	3.2021	3.2785	3.1961	3.2526	3.4114	3.3843	3.3595	3.3496	3.4613	3.3044	3.2969	3.2534	3.3154	3.2563
PATH-NP_TSLP_PATHWAY	0.488797624312883	0.239891913530825	0.488797624312883	0.522533253920985	0.518209900990099	0.502673796791444	0.284765079508086	0.29793868767019	0.488797624312883	0.253448803180786	0.265568199778726	0.292520920502092	0.42749598236632	0.502673796791444	0.284765079508086	1.2161	1.952	1.25	1.134	1.1294	1.1915	1.7909	1.7061	1.2398	1.9031	1.8322	1.7436	1.3549	1.1824	1.7651
PATH-NP_PROLACTIN_PATHWAY	0.971619234771553	0.38126140742243	0.405180257206094	0.159936272387071	0.368371212121212	0.971619234771553	0.500669369645043	0.217968279461955	0.217968279461955	0.193760179153094	0.130310218415945	0.0962298946267891	0.0435382637628554	0.15916915956426	0.130310218415945	0.1933	1.4585	1.422	2.2719	1.5113	0.1192	1.2194	2.004	1.9878	2.1438	2.4723	2.7004	3.2831	2.3305	2.4546
PATH-NP_FGF1_PATHWAY	0.318097595473833	0.137945492662474	0.217968279461955	0.318097595473833	0.159936272387071	0.971619234771553	0.723040438641244	0.600927749740673	0.971619234771553	0.971619234771553	0.159936272387071	0.284765079508086	0.257632423756019	0.368371212121212	0.0920180722891566	1.6643	2.3936	1.9976	1.6629	2.2642	0.2715	0.7452	0.9871	-0.0935	0.079	2.2918	1.7438	1.8664	1.509	2.7522
PATH-NP_EGFR1_PATHWAY	0.381022934085788	0.0761400761400761	0.130310218415945	0.173392360519893	0.124900655672561	0.293877791787408	0.0978660462978919	0.0983786081628693	0.0834559996706023	0.0557134141026758	0.0464335111638016	0.0761400761400761	0.00969671962038374	0.0415427882683809	0.00969671962038374	1.4756	2.8603	2.4214	2.2046	2.4772	1.7321	2.6998	2.652	2.8435	3.0851	3.2277	2.8629	3.7884	3.2816	3.9312
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.252709434216284	0.159936272387071	0.208038115730423	0.229709656779983	0.217936705914649	0.217936705914649	0.159936272387071	0.119244995446181	0.124900655672561	0.0917023858905225	0.134214298927118	0.124900655672561	0.159936272387071	0.130310218415945	0.146330998569805	1.8714	2.1907	2.0517	1.965	1.9995	2.0492	2.239	2.5317	2.4728	2.623	2.3468	2.4943	2.2466	2.4057	2.3129
KINASE-PSP_Src/SRC	0.124900655672561	0.00969671962038374	0.0389684935583996	0.0368392022527361	0.0154573972879984	0.0197522024717492	0.0128774179407091	0.00969671962038374	0.0421401422863269	0.00969671962038374	0.0466992346908601	0.0301381978993919	0.00969671962038374	0.00969671962038374	0.00969671962038374	2.4929	3.9361	3.2279	3.2983	3.5261	3.4381	3.636	3.8057	3.1284	4.1298	3.1077	3.2512	4.1751	3.6921	3.53
KINASE-PSP_EGFR	NA	0.838904618178904	NA	0.691038207641528	0.838904618178904	0.631557772771162	NA	NA	0.971619234771553	0.971619234771553	NA	0.891401542479144	0.890935233013186	0.971619234771553	0.98201581027668	NA	-0.5412	NA	-0.85	-0.5157	-0.9325	NA	NA	-0.2638	-0.19	NA	0.4012	-0.4152	0.0971	-0.0281
DISEASE-PSP_neuroblastoma	0.98201581027668	0.356220229756234	0.838904618178904	0.825930802247762	0.971619234771553	0.327769907805207	0.512574826560951	0.838904618178904	0.825930802247762	0.971619234771553	0.971619234771553	0.971619234771553	0.502673796791444	0.686733682571145	0.815595230237828	-0.0382	1.5438	0.5402	0.5939	0.082	-1.6243	-1.1526	-0.5334	-0.5761	-0.0783	-0.1964	0.1832	1.1744	0.8199	0.6274
