id	fdr.pvalue.2min_vs_0min	fdr.pvalue.5min_vs_0min	fdr.pvalue.5min_vs_2min	2min_vs_0min	5min_vs_0min	5min_vs_2min
PERT-PSP_EGF	0.849478038211542	0.284055886583111	0.849478038211542	-0.5252	-1.7838	-0.6328
PERT-PSP_ANTI_CD3	0.849478038211542	0.188812973095569	0.0210928083567698	-0.6343	-2.2492	-3.2197
PATH-NP_TSLP_PATHWAY	0.92971193188863	0.330524057615691	0.0856885147324113	0.2615	-1.8486	-2.8272
PATH-NP_PROLACTIN_PATHWAY	0.849478038211542	0.198675496688742	0.332873620862588	0.5223	2.3464	1.6427
PATH-NP_FGF1_PATHWAY	0.711619945562197	0.332873620862588	0.341578743074914	-0.9225	1.7109	1.5893
PATH-NP_EGFR1_PATHWAY	0.951975683890578	0.332873620862588	0.284055886583111	-0.081	1.6581	1.9166
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.92971193188863	0.188812973095569	0.256861594628072	0.1709	-2.3347	-2.1261
KINASE-PSP_Src/SRC	0.188812973095569	0.698995375208219	0.0210928083567698	2.0903	-0.9889	-3.3835
KINASE-PSP_EGFR	0.711619945562197	0.92971193188863	0.543449550977285	0.944	-0.1639	1.2781
DISEASE-PSP_neuroblastoma	0.92971193188863	0.0856885147324113	0.284055886583111	-0.2281	2.7237	1.8096
