id	fdr.pvalue.2min_vs_0min	fdr.pvalue.5min_vs_0min	fdr.pvalue.5min_vs_2min	2min_vs_0min	5min_vs_0min	5min_vs_2min
PERT-PSP_EGF	0.793245139306474	0.356448234590066	0.793245139306474	-0.6095	-1.6059	-0.6813
PERT-PSP_ANTI_CD3	0.832060763541875	0.266039230303313	0.0209205020920502	-0.5933	-2.0139	-3.2975
PATH-NP_TSLP_PATHWAY	0.894015509925377	0.416949758626855	0.097609561752988	0.3402	-1.5005	-2.9088
PATH-NP_PROLACTIN_PATHWAY	0.751592722263674	0.227208976157083	0.311982218630026	0.862	2.5524	1.6852
PATH-NP_FGF1_PATHWAY	0.751592722263674	0.311982218630026	0.266039230303313	-0.8401	1.8023	1.7644
PATH-NP_EGFR1_PATHWAY	0.894015509925377	0.266039230303313	0.26125588488827	0.2955	1.9752	1.9902
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.894015509925377	0.26125588488827	0.26125588488827	0.222	-2.2223	-2.1209
KINASE-PSP_Src/SRC	0.256745871929118	0.757942178740244	0.00594883997620464	2.0158	-0.7585	-3.4573
KINASE-PSP_EGFR	0.751592722263674	0.894015509925377	0.5642087276551	0.8823	0.2188	1.2519
DISEASE-PSP_neuroblastoma	0.976233273417216	0.130014110058456	0.266039230303313	0.0371	2.8024	1.8074
