id	fdr.pvalue.tcell_rep1_0min	fdr.pvalue.tcell_rep2_0min	fdr.pvalue.tcell_rep3_0min	fdr.pvalue.tcell_rep4_0min	fdr.pvalue.tcell_rep5_0min	fdr.pvalue.tcell_rep1_2min	fdr.pvalue.tcell_rep2_2min	fdr.pvalue.tcell_rep3_2min	fdr.pvalue.tcell_rep4_2min	fdr.pvalue.tcell_rep5_2min	fdr.pvalue.tcell_rep1_5min	fdr.pvalue.tcell_rep2_5min	fdr.pvalue.tcell_rep3_5min	fdr.pvalue.tcell_rep4_5min	fdr.pvalue.tcell_rep5_5min	tcell_rep1_0min	tcell_rep2_0min	tcell_rep3_0min	tcell_rep4_0min	tcell_rep5_0min	tcell_rep1_2min	tcell_rep2_2min	tcell_rep3_2min	tcell_rep4_2min	tcell_rep5_2min	tcell_rep1_5min	tcell_rep2_5min	tcell_rep3_5min	tcell_rep4_5min	tcell_rep5_5min
PERT-PSP_VIRUS_INFECTION	0.709758145087412	0.846721920647264	0.205554127211168	0.772314652735295	0.739493113694058	0.15184255576579	0.0772333531706672	0.035785410092221	0.0438786810870451	0.0275695431472081	0.0455363286724874	0.035785410092221	0.0080991124260355	0.00595804880702995	0.0136056534907199	0.6715	-0.303	1.9092	0.4737	0.5787	2.153	2.5786	3.0721	2.8164	3.1448	2.9052	3.0114	3.5521	3.5962	3.363
PERT-PSP_VANADATE	0.668090151860439	0.510579408264657	0.271966527196653	0.304883963983278	0.597007137806527	0.0309629642366873	0.035785410092221	0.00297716150081566	0.0150011008635663	0.0523007696342638	0.0814480320243651	0.0244140876231638	0.0212970985023958	0.0340753274790676	0.0316457865363685	0.7484	1.0794	1.6776	1.563	0.8831	3.3027	3.1658	4.2188	3.6657	2.8963	2.5801	3.2329	3.4928	3.1507	3.2488
PERT-PSP_UV	0.709758145087412	0.847479861614243	0.203670879633681	0.772314652735295	0.731310161126858	0.159325868298558	0.0801914131892643	0.035785410092221	0.049642112971988	0.0315954188307364	0.0373072693506363	0.0344328794691991	0.0054163454919435	0.00595804880702995	0.00904825143868969	0.6594	-0.3034	1.9556	0.4703	0.5906	2.0993	2.5772	3.0449	2.8437	3.2653	2.9542	3.0322	3.5994	3.5324	3.3957
PERT-PSP_TNF	0.709758145087412	0.846348713082326	0.187689100901257	0.772314652735295	0.732841177599532	0.158273880341191	0.0874390776383955	0.035847308440656	0.0457526964907917	0.0331462037740307	0.0439902280130293	0.0353736867609003	0.00595804880702995	0.00595804880702995	0.0168498397485989	0.6684	-0.3058	1.9619	0.4804	0.5832	2.1608	2.5278	2.9642	2.8903	3.1647	2.8932	3.031	3.6214	3.5203	3.3602
PERT-PSP_THROMBIN	0.316357203922357	0.709758145087412	0.0722715486760431	0.401627358149097	0.326409359232518	0.080323865009604	0.0634098558941208	0.0303931481591625	0.035785410092221	0.0660612663881285	0.0437038515266414	0.0420218871049778	0.0407350976199351	0.0325857376156777	0.02926396689329	1.546	0.6464	2.6195	1.3271	1.5294	2.5897	2.7374	3.1885	3.0691	2.6722	2.9684	2.9776	2.971	3.2661	3.1747
PERT-PSP_TGF_BETA	0.710712316326832	0.652521829316229	0.478366561755312	0.416984928699881	0.714459128462466	0.481832910679065	0.245940966347058	0.128299430431245	0.171314116165834	NA	0.155416367864501	0.118409145667058	0.0315658175568922	0.0439348800818513	0.0489202551864495	0.6572	0.7796	1.1626	1.3023	0.6303	1.1417	1.7468	2.2826	2.0635	NA	2.1263	2.3156	2.9475	2.8654	2.7868
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.709758145087412	0.846348713082326	0.197318791719053	0.777632426385215	0.734369785543987	0.15371401656831	0.0806225321193797	0.035785410092221	0.0461960923168485	0.0255607568184944	0.0455363286724874	0.035785410092221	0.00595804880702995	0.0118973244601385	0.0148430190971949	0.6748	-0.3072	1.9418	0.4722	0.5751	2.1214	2.5681	3.0108	2.8049	3.1274	2.8839	3.0152	3.5753	3.4651	3.3375
PERT-PSP_PHORBOL_ESTER	0.709758145087412	0.841643657862801	0.188501682283564	0.772314652735295	0.733542614498028	0.176927674835625	0.15293102619441	0.0839137872049264	0.109247259851845	0.0746524789749571	0.125225045009002	0.110675774662283	0.109653514920889	0.0775865560704686	0.0849181777974348	0.666	-0.3085	1.9523	0.4756	0.5803	2.047	2.1358	2.571	2.3997	2.6926	2.3346	2.3229	2.3843	2.6138	2.5134
PERT-PSP_PDGF	NA	NA	NA	NA	NA	0.302339795810155	0.323743356865426	NA	0.237803695405387	0.0848419696869818	0.251113968340957	0.193913584281152	0.215690750511468	0.26387477989977	0.248146996537699	NA	NA	NA	NA	NA	1.5775	1.526	NA	1.7978	2.5278	1.7571	1.9513	1.882	1.7102	1.7446
PERT-PSP_PD98059	1	0.825595207133436	0.220530086819861	0.915048894567737	1	0.197318791719053	0.362635225113342	0.532347822626798	0.469481988779578	0.603401567977178	0.455591216100622	0.517304992557372	0.803174098431741	0.768299105836611	0.724606943090179	NaN	-0.3559	-1.8466	-0.1624	NaN	-1.9426	-1.4376	-1.0306	-1.1691	-0.882	-1.188	-1.0646	-0.4233	-0.5141	-0.6119
