id	fdr.pvalue.2min_vs_0min	fdr.pvalue.5min_vs_0min	fdr.pvalue.5min_vs_2min	2min_vs_0min	5min_vs_0min	5min_vs_2min
PERT-PSP_VIRUS_INFECTION	0.0151441690671078	0.115663211057948	0.138583965465484	3.2808	2.3419	2.1305
PERT-PSP_VANADATE	0.0101528666073938	0.055494362693531	0.350826083486312	4.0619	2.8209	-1.4394
PERT-PSP_UV	0.0144946957007259	0.115663211057948	0.138583965465484	3.2801	2.3255	2.1201
PERT-PSP_TNF	0.0144946957007259	0.115663211057948	0.138583965465484	3.3125	2.3273	2.124
PERT-PSP_THROMBIN	0.0144946957007259	0.0832325675130996	0.308146409864005	3.3957	2.6434	1.5225
PERT-PSP_TGF_BETA	0.0403234055215123	0.238469662058372	0.0423108841941944	2.8044	1.7158	2.8753
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.0144946957007259	0.115663211057948	0.138583965465484	3.3137	2.3237	2.1125
PERT-PSP_PHORBOL_ESTER	0.0144946957007259	0.115663211057948	0.587809203323731	3.2965	2.3303	0.8016
PERT-PSP_PDGF	NA	NA	0.730735756845417	NA	NA	-0.6361
PERT-PSP_PD98059	0.770523194083404	0.741877341991985	0.149006107123192	0.4512	-0.522	2.0289
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.0159520023689818	0.115663211057948	0.138583965465484	3.2418	2.3225	2.1195
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	NA	NA	0.211882560483871	NA	NA	-1.6873
PERT-PSP_OKADAIC_ACID	0.138583965465484	0.115663211057948	0.379947218871682	2.0194	2.2919	1.3421
PERT-PSP_LPS	0.0144946957007259	0.0848280715865675	0.0729789230001059	3.4168	2.6128	2.6864
PERT-PSP_LPA	0.0167358082473496	0.115963115407932	0.138822314230443	3.3007	2.3071	2.1029
PERT-PSP_INSULIN	0.0144946957007259	0.115663211057948	0.138583965465484	3.2897	2.35	2.1413
PERT-PSP_IL_2	0.0834	0.0814161627110908	0.941640947260288	2.6191	2.7064	-0.1351
PERT-PSP_IL_1B	0.0144946957007259	0.115663211057948	0.138583965465484	3.3024	2.3247	2.1198
PERT-PSP_IL_1A	0.0144946957007259	0.115663211057948	0.138583965465484	3.218	2.3552	2.1468
PERT-PSP_HEREGULIN	0.138583965465484	0.115963115407932	0.3775000519006	2.0464	2.3507	1.3311
PERT-PSP_H2O2	NA	NA	0.544767898665364	NA	NA	0.9263
PERT-PSP_GEFITINIB	0.131601316588374	0.82814402314188	0.153882631890931	-2.1984	-0.3681	2.0076
PERT-PSP_FIBRONECTIN	0.138583965465484	0.115963115407932	0.3775000519006	2.0379	2.3239	1.3348
PERT-PSP_ERLOTINIB	0.3775000519006	0.886828619123776	0.0499816023891223	-1.3432	0.2563	2.0142
PERT-PSP_EGF	0.0144946957007259	0.257022331640798	0.0814161627110908	3.7614	1.6613	-2.6409
PERT-PSP_DASATINIB	0.138583965465484	0.115663211057948	0.3775000519006	-2.0442	-2.3415	-1.3506
PERT-PSP_CYCLIC_STRETCH	0.138583965465484	0.115663211057948	0.379947218871682	2.0601	2.3512	1.3335
PERT-PSP_CXCL12	0.115663211057948	0.0309378745505394	0.963245861929754	2.3845	2.7928	0.0897
PERT-PSP_CISPLATIN	0.0195454846617637	0.115663211057948	0.138583965465484	3.3244	2.325	2.1303
PERT-PSP_BACTERIAL_INFECTION	0.0144946957007259	0.115663211057948	0.138583965465484	3.2822	2.3236	2.1125
PERT-PSP_ANTI_IGM	0.0729789230001059	0.131232278255025	0.0101528666073938	2.6418	2.1769	-3.3675
PERT-PSP_ANTI_CD3	0.00705741626794258	0.00705741626794258	0.926386016243757	4.8018	4.9614	0.164
PERT-PSP_ANISOMYCIN	0.0181875267589553	0.115663211057948	0.140284777190436	3.2531	2.3	2.0823
PATH-WP_Non-small_cell_lung_cancer	0.0877981738333702	0.115663211057948	0.115663211057948	2.5082	2.3287	-2.3758
PATH-NP_TWEAK_PATHWAY	0.0159520023689818	0.115663211057948	0.138822314230443	3.2896	2.354	2.1154
PATH-NP_TSLP_PATHWAY	0.0108575634891424	0.0833936497097986	0.0320746400235087	3.6014	2.6238	3.1467
PATH-NP_TIE2_PATHWAY	0.0204352033074572	0.211882560483871	0.115663211057948	2.9733	1.7806	2.319
PATH-NP_T_CELL_RECEPTOR_PATHWAY	0.0159520023689818	0.115663211057948	0.138583965465484	3.2309	2.3279	2.1433
PATH-NP_PROLACTIN_PATHWAY	0.486257877170364	0.3775000519006	0.920406504938126	-1.1045	-1.3462	0.2305
PATH-NP_OXYTOCIN_PATHWAY	0.0144946957007259	0.115663211057948	0.138583965465484	3.2698	2.3449	2.1067
PATH-NP_NOTCH_PATHWAY	0.0108575634891424	0.0632656376929326	0.055494362693531	3.672	2.8474	2.7875
PATH-NP_LEPTIN_PATHWAY	0.0108575634891424	0.0144946957007259	0.0403234055215123	3.6806	3.2736	2.9684
PATH-NP_KIT_RECEPTOR_PATHWAY	0.115663211057948	0.322827031463088	0.562799159508753	2.3742	1.4856	-0.923
PATH-NP_IL33_PATHWAY	0.0108575634891424	0.0520467959085085	0.562799159508753	3.7245	2.8742	0.8817
PATH-NP_EGFR1_PATHWAY	0.0164059024173217	0.0677120539635325	0.668150331049791	3.6162	2.8901	-0.6571
PATH-NP_CRH_PATHWAY	0.0144946957007259	0.115663211057948	0.138583965465484	3.3375	2.3175	2.1383
PATH-NP_B_CELL_RECEPTOR_PATHWAY	0.35597121023636	0.277927509074346	0.00705741626794258	1.3707	1.6	-3.6946
