id	fdr.pvalue.2min_vs_0min	fdr.pvalue.5min_vs_0min	fdr.pvalue.5min_vs_2min	2min_vs_0min	5min_vs_0min	5min_vs_2min
PERT-PSP_VIRUS_INFECTION	0.0221627774615822	0.114874457469679	0.138742454312412	3.2986	2.3425	2.1051
PERT-PSP_VANADATE	0.0119796954314721	0.0758316532258064	0.392240930394029	4.085	2.7843	-1.2825
PERT-PSP_UV	0.0221347498302824	0.114874457469679	0.138742454312412	3.2236	2.3523	2.0924
PERT-PSP_TNF	0.0199444110576923	0.114874457469679	0.138742454312412	3.2809	2.3078	2.1188
PERT-PSP_THROMBIN	0.0119918699186992	0.0790725326991677	0.300181708055724	3.4668	2.6561	1.5528
PERT-PSP_TGF_BETA	0.0395037529050445	0.230596854469441	0.0507258632840028	2.8063	1.7421	2.8636
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.0195396588839212	0.114874457469679	0.138742454312412	3.2483	2.3398	2.1265
PERT-PSP_PHORBOL_ESTER	0.0195396588839212	0.114874457469679	0.576146685259865	3.2128	2.3109	0.834
PERT-PSP_PDGF	NA	NA	0.735873820630897	NA	NA	-0.6258
PERT-PSP_PD98059	0.768957602688162	0.734271585017854	0.140025676829986	0.4715	-0.5263	2.0492
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.0177070828331333	0.114874457469679	0.138742454312412	3.2787	2.3628	2.1369
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	NA	NA	0.223593431153435	NA	NA	-1.7008
PERT-PSP_OKADAIC_ACID	0.138742454312412	0.114874457469679	0.399208456073471	2.0652	2.2954	1.2867
PERT-PSP_LPS	0.0195396588839212	0.0758316532258064	0.0765818046961383	3.4002	2.6829	2.6918
PERT-PSP_LPA	0.0199444110576923	0.114874457469679	0.138742454312412	3.2799	2.3729	2.156
PERT-PSP_INSULIN	0.0195396588839212	0.114874457469679	0.138742454312412	3.302	2.3506	2.1165
PERT-PSP_IL_2	0.0843366217032414	0.0635139194872822	0.930185285437368	2.5925	2.7734	-0.1417
PERT-PSP_IL_1B	0.0199444110576923	0.114874457469679	0.138742454312412	3.2853	2.3119	2.1217
PERT-PSP_IL_1A	0.0199444110576923	0.114874457469679	0.138742454312412	3.3065	2.3366	2.1407
PERT-PSP_HEREGULIN	0.138742454312412	0.114874457469679	0.399747358750574	2.0598	2.3094	1.2822
PERT-PSP_H2O2	NA	NA	0.521388079470199	NA	NA	0.9784
PERT-PSP_GEFITINIB	0.131102857862269	0.822601863300457	0.155571341587173	-2.2239	-0.3841	2.0065
PERT-PSP_FIBRONECTIN	0.138742454312412	0.117105880775163	0.399208456073471	2.0724	2.2778	1.2966
PERT-PSP_ERLOTINIB	0.399747358750574	0.898609812921137	0.0635139194872822	-1.2387	0.2171	2.0625
PERT-PSP_EGF	0.0119796954314721	0.256440516968423	0.104120975734518	3.7817	1.6532	-2.4922
PERT-PSP_DASATINIB	0.138742454312412	0.114874457469679	0.399208456073471	-2.0709	-2.3684	-1.299
PERT-PSP_CYCLIC_STRETCH	0.138742454312412	0.117250982212315	0.398481043582999	2.0739	2.309	1.3066
PERT-PSP_CXCL12	0.114874457469679	0.0395037529050445	0.995500562429696	2.3882	2.7829	0.0251
PERT-PSP_CISPLATIN	0.0199444110576923	0.114874457469679	0.138742454312412	3.3314	2.3204	2.1301
PERT-PSP_BACTERIAL_INFECTION	0.0199444110576923	0.114874457469679	0.138742454312412	3.3651	2.4007	2.0873
PERT-PSP_ANTI_IGM	0.0758316532258064	0.138742454312412	0.0142140132503513	2.7144	2.0999	-3.4203
PERT-PSP_ANTI_CD3	0.0059	0.0059	0.845256092690702	4.9099	4.9731	0.3296
PERT-PSP_ANISOMYCIN	0.0199444110576923	0.114874457469679	0.138742454312412	3.2482	2.3249	2.1442
PATH-WP_Non-small_cell_lung_cancer	0.0958842269543795	0.121619112855213	0.114874457469679	2.4837	2.2791	-2.3532
PATH-NP_TWEAK_PATHWAY	0.0195396588839212	0.114874457469679	0.138742454312412	3.3373	2.3411	2.1156
