protein name	count
5`-3` exoribonuclease 2	1
A kinase anchoring protein 13	1
ACINUS	1
ADP ribosylation factor guanine nucleotide exchange factor 2	1
AF6	1
AKT1	2
AKT1 substrate 1	1
ARPP19	1
ATP binding cassette 50	1
Activity dependent neuroprotector	1
Anaphase promoting complex, subunit 1	1
Androgen induced proliferation inhibitor	1
Anion exchange protein (Fragment)	1
Apoptosis antagonizing transcription factor	1
Apoptosis inhibitor 5	1
Ataxin 2 domain protein	1
Autoantigen RCD8	1
B cell CLL/lymphoma 9 like	1
B-lymphocyte cell-surface antigen B1	2
BCL2 associated transcription factor 1	2
BTKI	1
Beta adaptin 3A	1
Branched chain keto acid dehydrogenase E1, alpha polypeptide	1
Brefeldin A-inhibited guanine nucleotide-exchange protein 2	1
Bromodomain containing 4	2
C11orf23 protein	1
C13orf8 protein	3
C14orf35 protein	1
C20orf6 protein	2
C22orf9 protein	1
C6orf111 protein	3
C9orf55 protein	1
CAP-GLY domain containing linker protein 1	3
CASPR4	1
CD2 antigen binding protein 2	1
CDC42 effector protein 4	1
Chromobox homolog 3	1
Chromodomain helicase DNA binding protein 7	1
Chromosome 14 open reading frame 43	1
Chromosome 17 open reading frame 49	1
Chromosome 2 open reading frame 17	1
Chromosome condensation protein G	1
Coiled-coil domain containing 131	1
Coilin	1
Conserved nuclear protein NHN1	1
Cyclic nucleotide gated channel beta 1	1
DBC1	1
DDX21	1
DEK Oncogene	1
DNA methyltransferase 1	1
DNA topoisomerase II alpha	1
Damage specific DNA binding protein 2	1
Daxx	1
Death associated transcription factor 1	2
Dedicator of cytokinesis 11	1
DnaJ homology subfamily A member 5	1
Double strand break repair protein MRE11A	1
Dynein light chain A	2
Dyskerin	1
ERCC5	1
EVI2B	1
Enolase 1	1
Eps15	2
Eukaryotic translation elongation factor 1 beta 2	2
Eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa	1
Eukaryotic translation initiation factor 4B	2
Eukaryotic translation initiation factor 4E nuclear import factor 1	1
Eukaryotic translation initiation factor 5B	2
FIP1 like 1	1
FK506 binding protein 15, 133kDa	1
FLJ12387	1
FNBP4	1
FUS interacting protein 1	1
Family with sequence similarity 54, member B	1
Fatty acid synthase	1
Fetal Alzheimer antigen	1
Forkhead box K1	1
FtsJ homolog 3	1
GFAT	1
GRK-interacting protein 2	1
Glucocorticoid induced transcript 1	1
Glutamyl-prolyl-tRNA synthetase	1
Golgi specific brefeldin A resistance factor 1	1
HBXAP	3
HDCMA18P protein	1
HGAL	1
HIP55	1
HLA-A	3
HLA-B associated transcript 2	1
HMG CoA reductase	1
HPRP3P	1
