protein name	count
5`-3` exoribonuclease 2	1
6-phosphofructo-2 kinase/fructose-2,6-biphosphatase 2	1
7-dehydrocholesterol reductase	1
A kinase anchor protein 2	4
A kinase anchoring protein 13	1
ACINUS	6
ADP ribosylation factor like 3	1
AF10	1
AKAP95	1
AP2 associated kinase 1	1
ARL6IP4	1
ARPP-21	2
ASH2 like	1
AT rich interactive domain 1A	1
ATP binding cassette 50	2
ATP citrate lyase	1
ATPase classVI type11B	1
Acetyl-CoA carboxylase alpha	1
Actin binding LIM protein 1	1
Actin-like 6A	1
Activating transcription factor 2	1
Adducin 1 alpha	1
Adducin 3	1
Aladin	1
AlkB, alkylation repair homolog 5	1
Alpha-2-HS glycoprotein	1
Anaphase promoting complex, subunit 1	1
Androgen induced proliferation inhibitor	3
Antigen identified by monoclonal antibody Ki-67	1
Apoptosis antagonizing transcription factor	1
Arachidonate 12-oxidoreductase	1
Arf-GAP with dual PH domain-containing protein 1 (Fragment)	1
Arsenite resistance protein 2	2
Ataxin 10	1
Ataxin 2 domain protein	1
Autoantigen La	1
Autoantigen RCD8	1
B-lymphocyte cell-surface antigen B1	1
BCL2 antagonist of cell death	1
BCL2 associated transcription factor 1	6
BHC110	3
BIN2	1
BMP2 inducible protein kinase	1
BPY2 interacting protein 1	2
BRCA2 and CDKN1A interacting protein	1
BUB1	1
Basic leucine zipper and W2 domains 2	1
Bromodomain adjacent to zinc finger domain, 1B	2
Bromodomain containing 4	2
Bromodomain containing 8	1
Butyrate induced transcript 1	1
Bystin	1
C13orf3 protein	1
C13orf8 protein	2
C14orf11 protein	1
C19orf14 protein	1
C20ORF1 protein	2
C22orf5 protein	1
C5orf3 protein	1
C6orf113 protein	1
C6orf32 protein	2
C8orf20 protein	1
C9orf25 protein	1
C9orf42 protein	1
C9orf55 protein	1
C9orf78	2
C9orf88 protein	2
CBF1 interacting corepressor	1
CBP80	1
CCAAT binding factor	1
CD2 associated protein	1
CD5	1
CDC 25B	2
CDC2 related protein kinase 7	2
CHMP family, member 7	1
CLN6 protein	1
CLNS1A	1
CRDBP	1
Calcium regulated heat stable protein 1	1
Calnexin	1
CapZ-interacting protein	1
Catenin alpha 1	1
Cell division cycle 2 like 2	5
Cell division cycle 2 like 5	2
Centaurin beta 1	1
Centaurin delta 2	1
Chr2 synaptotagmin	4
Chromatin assembly factor 1 subunit A	2
Chromobox homolog 3	2
Chromodomain helicase DNA binding protein 3	1
Chromosome 1 open reading frame 144	1
Chromosome 10 open reading frame 9	1
Chromosome 14 open reading frame 43	1
Chromosome 19 open reading frame 13	1
Chromosome 2 open reading frame 17	1
Chromosome 22 open reading frame 19 protein	1
Chromosome 6 open reading frame 108	1
Chromosome 6 open reading frame 206	1
Chromosome 6 open reading frame 93	1
Chromosome 7 open reading frame 50	1
Chromosome 9 open reading frame 82 protein	1
Chromosome 9 open reading frame 86	1
Chromosome associated kinesin KIF4A	2
Chromosome condensation 1	1
Coiled-coil domain containing 131	1
Coiled-coil domain containing 132	2
Coiled-coil domain containing 16	1
Coiled-coil domain containing 52	1
Coiled-coil domain containing 86	2
Coiled-coil domain containing 94	1
Coiled-coil domain containing 97	1
Coiled-coil-helix-coiled-coil-helix domain containing 3	2
Conserved nuclear protein NHN1	5
Core binding factor, beta subunit	1
Cross immune reaction antigen PCIA1	1
Cyclin H	1
Cyclin L1	1
Cyclin dependent kinase 7	1
Cyclin dependent kinase inhibitor 3	2
Cylindromatosis gene protein	1
Cysteine string protein	1
Cytidine 5-prime triphosphate synthetase	5
Cytoplasmic linker associated protein 2	1
Cytoskeleton-like bicaudal D protein homolog 2	1
D4, zinc and double PHD fingers family 2	1
DBC1	2
DDX21	1
DDX24	1
DDX3	1
DDX41	1
DDX42	2
DEAD box polypeptide 55	1
DEAD-box protein 54	1
DEF6	3
DEK Oncogene	1
DENN domain-containing protein 1B	1
DEP domain containing 1B	1
DKFZP434C212 protein	1
DKFZP434P1750 protein	2
DKFZp761A052 protein	1
DNA Ligase III	1
DNA methyltransferase 1	1
DNA topoisomerase II alpha	5
DYRK1B	1
Death associated protein	2
Death associated transcription factor 1	1
Dedicator of cytokinesis 2	1
Dedicator of cytokinesis 7	1
Delangin	1
Deoxycytidine kinase	1
Desmoglein 2	1
DiGeorge syndrome critical region gene 8	2
Dihydropyrimidinase-related protein 2	1
Discs, large homolog 7	1
Double strand break repair protein MRE11A	1
Dynein light chain A	1
Dyskerin	2
E2-230K	2
EIF3S5	1
EIF3S8	1
ELAC	1
ELL associated factor 1	2
EMSY Protein	1
ERF	3
ERK1	2
ERK2	1
ETS translocation variant 6	1
ETS1	1
Emerin	2
Ena vasodilator stimulated phosphoprotein like protein	5
Endosulfine alpha	1
Enhancer of mRNA decapping 3 homolog	1
Epsin 1	1
Erbin	3
Erythrocyte membrane protein band 4.1	2
Essential meiotic endonuclease 1	1
Eukaryotic translation elongation factor 1 beta 2	1
Eukaryotic translation elongation factor 1 gamma	1
Eukaryotic translation elongation factor 1, delta	3
Eukaryotic translation initiation factor 4B	3
Eukaryotic translation initiation factor 4E binding protein 1	2
Eukaryotic translation initiation factor 4E binding protein 2	2
Eukaryotic translation initiation factor 5	1
Eukaryotic translation initiation factor 5B	3
Eukaryotic translation initiation factor 6	1
Excision repair cross-complementing rodent repair deficiency, complementation group 6	1
Exocyst complex component 4	1
F-box protein 42	1
FGD1 family member 3	1
FGFR1 oncogene partner	2
FK506 binding protein 4	1
FLJ14936	2
FLN29 protein	1
FMRP interacting protein, 82-kD	2
FNBP4	1
FUS interacting protein 1	2
FXR1	1
Family with sequence similarity 53, member B	2
Family with sequence similarity 91, member A1	1
Ferritin heavy chain 1	1
Fetal Alzheimer antigen	1
Flightless 1	1
Fodrin beta	6
Forkhead box K2	1
Formin binding protein 1	2
Formin like	1
G protein coupled purinergic receptor P2Y8	1
G protein dependent receptor kinase 2	1
GATA binding protein 3	1
GATA zinc finger domain containing 2B	1
GIT1	1
GL004 protein	1
GRID	2
GRK-interacting protein 2	1
GTP binding protein 1	1
GTPase activating Rap/RanGAP domain like 1	1
GTPase activating Rap/RanGAP domain like 4	6
Gamma-tubulin complex component 3	1
General transcription factor IIIC, polypeptide 2, beta 110kDa	2
Glucocorticoid receptor DNA binding factor 1	1
Glutamine dependent carbamoyl phosphate synthase	1
Glutamyl-prolyl-tRNA synthetase	1
Glycogen phosphorylase, brain type	1
Glycogen synthase kinase 3 alpha	1
Golgi specific brefeldin A resistance factor 1	1
Grb4	1
Guanine nucleotide binding protein like1	2
Guanine nucleotide releasing factor 2	1
H3 Histone, family 3B	1
HBXAP	1
HIRA interacting protein 3	5
HIV 1 REV binding protein	2
HLA class I histocompatibility antigen, B-58 alpha chain	2
HLA-A	1
HLA-B associated transcript 2	2
HLA-B associated transcript 3	1
HSHIN1	2
HSP90B	1
Hect domain and RCC1 like domain 1	1
Hepatoma derived growth factor	1
Hepatoma-derived growth factor-related protein 2	2
Heterogeneous nuclear ribonucleoprotein A3	1
Heterogeneous nuclear ribonucleoprotein C	2
Heterogeneous nuclear ribonucleoprotein D	1
Heterogeneous nuclear ribonucleoprotein K	2
Heterogeneous nuclear ribonucleoproteins C1/C2	1
High mobility group AT hook 1	1
Histone 1, H1b	1
Histone H1x	1
Histone deacetylase 1	2
Histone deacetylase 2	2
Histone deacetylase 4	1
Hypothetical protein DKFZp762E1312	1
Hypothetical protein FLJ10154	1
Hypothetical protein LOC348262	2
Hypothetical protein LOC729440	1
Hypothetical protein MGC22014	1
IGF II receptor	1
IQGAP2	2
IWS1 homolog	5
Immunoglobulin superfamily, member 3	1
Inner centromere protein	2
Inorganic pyrophosphatase 2	2
Integrator complex subunit 1	1
Interferon gamma inducible protein 16	1
Interferon regulatory factor 2 binding protein 2	1
Interferon regulatory factor 3	2
Interleukin enhancer binding factor 3	1
Isoform 2 of Protein SOGA1	1
Isoform 2 of Rho guanine nucleotide exchange factor 18	1
Isoform 3 of Proline-rich protein 12	1
Janus kinase 3	1
KARP 1 binding protein	1
KH type splicing regulatory protein	1
KIAA0179	1
KIAA0182	1
KIAA0460	1
KIAA1115 protein	2
KIAA1143 protein	1
KIAA1271 protein	1
KIAA1429	2
KIAA1604 protein	1
KRI1 homolog	1
Kanadaptin	1
Kinesin 2	1
Kinesin family member 21B	1
Kinesin light chain 1 (Fragment)	1
Kinesin light chain 4	1
L3MBTL2	1
LARP	6
LASS2	1
LIG1 DNA ligase I	4
LIM domain containing 2	1
LIM domain only 7	2
LOC159090	1
LOC388974	1
LOC389677 protein	2
LUC7 like	1
Lamin B1	1
Lamina associated polypeptide 1B	1
Lck	1
Leucine rich repeat containing 47	1
Lin 9 homolog	1
Linker for activation of T cells	2
Lymphocyte cytosolic protein 1	1
Lymphocyte specific protein	1
M phase phosphoprotein, mpp8	1
MAP3K2	1
MARCKS like protein	5
MCM2 minichromosome maintenance deficient 2, mitotin	3
MCM3	1
MGC13125	1
MLLT2	3
MPP10	1
MST4	1
Macrophin 1	1
Matrin 3	1
Mediator of DNA damage checkpoint 1	4
Melanoregulin	1
Mesoderm induction early response 1	2
Metadherin	1
Metastasis associated protein MTA2	1
Methyl CpG binding domain protein 2	1
Microtubule associated protein 1A	5
Microtubule associated protein 4	2
Microtubule associated protein tau	2
Minor histocompatibility antigen HA1	1
Myelin expression factor 2	1
Myosin XVIIIA	1
Myosin heavy chain 9, nonmuscle	1
Myosin phosphatase target subunit 1	1
Myotubularin related protein 1	1
Myotubularin related protein 3	1
NAG	1
NCK1	1
NDRG family member 3	1
NECAP endocytosis associated 2	1
NFAT1	2
NHS	1
NICE 4 protein	1
NIR3	1
NOL1/NOP2/Sun domain family, member 2	2
NOP56	2
NOT2	1
NUP107	1
NUP133	1
NUP214	1
NUP98	1
Nascent polypeptide associated complex, alpha polypeptide	1
Neurofibromatosis type I	1
Neutrophil cytosolic factor 2	1
Nin one binding protein	1
Non-SMC condensin II complex, subunit H2	1
Nuclear autoantigenic sperm protein	1
Nuclear mitotic apparatus protein 1	1
Nuclear protein UKp68	1
Nuclear receptor coactivator 5	1
Nuclear receptor corepressor 1	2
Nuclear receptor corepressor 2	1
Nuclear ubiquitous casein kinase and cyclin dependent kinase substrate	4
Nucleolar protein 8	1
Nucleolar protein NOP5	1
Nucleolin	3
Nucleoporin 160kDa	1
Nucleosome assembly protein 1 like 1	1
Nucleosome assembly protein 1 like 4	1
OSBP related protein 11	1
Odin	1
Osteoclast stimulating factor 1	2
Oxysterol binding protein	1
Oxysterol binding protein like 8	1
P160	1
PAK2	4
PARN	1
PC4 and SFRS1 interacting protein 1	2
PCTAIRE protein kinase 1	2
PCTAIRE protein kinase 2	1
PDGF alpha associated protein 1	1
PDZ binding kinase	1
PHD finger protein 14	1
PHD finger protein 2	1
PHD finger protein 6	1
PKR protein activator	1
PRP4 pre-mRNA processing factor 4 homolog B	2
PSD3	1
Palladin	1
Peptidyl prolyl isomerase G	2
Pericentriolar material 1	1
Periodic tryptophan protein 1 homolog	1
Periphilin 1	3
Phosphatase and actin regulator 4	1
Phosphatidylinositol-3-phosphate/phosphatidylinositol 5-kinase type III	1
Phosphatidylinositol-4-phosphate 5-kinase type II beta	1
Phosphoglycerate kinase 1	1
Phospholipase C, beta 3	1
Phospholipase C, gamma 1	1
Pinin	2
Plasma membrane Ca(2+) ATPase type 4	1
Pleckstrin homology domain containing, family F (with FYVE domain) member 2	1
Pleckstrin homology domain interacting protein	2
Plectin 1	2
Poly(rC) binding protein 1	2
Polycomb protein SUZ12	1
Processing of precursor 5, ribonuclease P/MRP subunit	1
Progesterone receptor membrane component 1	1
Protein FAM117B	8
Protein arginine N methyltransferase 3	1
Protein kinase C binding protein 1	1
Protein kinase C, eta	2
Protein kinase C, theta	2
Protein kinase D2	2
Protein kinase serine/arginine specific 2	2
