protein name	count
C6orf111 protein	1
Chromosome 9 open reading frame 86	1
DNA topoisomerase II alpha	1
EMK1	1
HIP55	1
HSP90B	1
IWS1 homolog	1
Leucine-rich repeat flightless-interacting protein 1	1
MAP kinase activating death domain protein	1
Microtubule associated protein 4	1
Myosin regulatory light chain MRLC2	1
Nuclear ubiquitous casein kinase and cyclin dependent kinase substrate	1
PTK2B protein tyrosine kinase 2 beta	1
Solute carrier family 4, member 7	1
Spliceosome associated protein 145	1
Stathmin 1	1
Transcriptional intermediary factor 1 beta	1
Tumor protein D52 like 2	1
Ubiquitin specific protease 10	1
Zinc finger protein, subfamily 1A, member 1	1
