id	fdr.pvalue.bcell_rep1_0min	fdr.pvalue.bcell_rep2_0min	fdr.pvalue.bcell_rep3_0min	fdr.pvalue.bcell_rep4_0min	fdr.pvalue.bcell_rep5_0min	fdr.pvalue.bcell_rep1_2min	fdr.pvalue.bcell_rep2_2min	fdr.pvalue.bcell_rep3_2min	fdr.pvalue.bcell_rep4_2min	fdr.pvalue.bcell_rep5_2min	fdr.pvalue.bcell_rep1_5min	fdr.pvalue.bcell_rep2_5min	fdr.pvalue.bcell_rep3_5min	fdr.pvalue.bcell_rep4_5min	fdr.pvalue.bcell_rep5_5min	bcell_rep1_0min	bcell_rep2_0min	bcell_rep3_0min	bcell_rep4_0min	bcell_rep5_0min	bcell_rep1_2min	bcell_rep2_2min	bcell_rep3_2min	bcell_rep4_2min	bcell_rep5_2min	bcell_rep1_5min	bcell_rep2_5min	bcell_rep3_5min	bcell_rep4_5min	bcell_rep5_5min
PERT-PSP_THROMBIN	0.671709518133833	0.306305634557959	NA	0.223409951284256	0.209353704162132	0.16007615167279	0.362588385542669	0.125554471953943	0.176165485581851	NA	0.804679396984925	0.558336156772945	0.744035871571369	0.673580695467516	0.48968691761211	1.2969	2.3645	NA	2.4791	2.5926	2.8482	2.0955	2.9671	2.7122	NA	0.8387	1.6477	1.0149	1.2932	1.8535
PERT-PSP_PHORBOL_ESTER	0.923593211390951	0.859698868210885	0.717212634273349	0.923593211390951	0.805997086195106	0.620573482069327	0.923593211390951	0.362588385542669	0.751594567770838	0.720115630807351	0.923593211390951	0.591791206411089	0.717212634273349	0.624955038202024	0.624955038202024	-0.3883	0.69	1.1287	0.4187	-0.8051	1.5218	0.4448	2.121	0.9981	-1.0954	0.4341	1.5829	1.116	1.4296	1.4289
PERT-PSP_NOCODAZOLE	0.957135509396637	0.591791206411089	0.52381441245737	0.651211574193852	0.720115630807351	0.490892272340734	0.810633844460727	0.223409951284256	0.653598550724638	0.923593211390951	0.621713567839196	0.178330557440421	0.362588385542669	0.157211948790896	0.362588385542669	0.2461	1.5913	1.7269	1.3551	1.0732	1.8311	0.7526	2.5582	1.3348	0.4503	1.4999	2.7708	2.1651	3.1166	2.1008
PERT-PSP_INSULIN	0.306305634557959	0.76240648309748	NA	0.859698868210885	0.923593211390951	0.933783629405381	0.758556691843237	0.923593211390951	1	0.804679396984925	0.521696792260692	1	0.770617175396726	0.97980460265568	0.923593211390951	-2.3451	-0.9726	NA	-0.6962	-0.3988	-0.3381	-0.9782	0.4762	-0.0781	-0.8439	-1.7421	-0.0294	-0.8951	-0.1583	-0.5177
PERT-PSP_EGF	1	0.923593211390951	1	0.717212634273349	0.853364381646162	0.717212634273349	0.874882277939973	0.957135509396637	0.728218750364079	0.923593211390951	0.933783629405381	0.897977068510862	0.97980460265568	0.933921080952349	0.994045525104976	0.0595	-0.3701	-0.0983	1.1138	0.6878	1.1542	0.6385	0.2191	1.0711	0.3636	0.3134	0.5489	0.1638	0.3177	-0.1063
PATH-NP_TSLP_PATHWAY	0.598370909090909	0.651211574193852	NA	0.7648498197329	0.889524920054416	0.580427731990232	0.923593211390951	0.79662896756081	0.73088328484352	0.923593211390951	0.621542646121803	1	1	0.744035871571369	0.944028241446158	-1.5508	-1.3464	NA	-0.9492	-0.5604	1.6	0.4346	0.8643	1.0675	-0.3514	-1.5175	-0.0319	-0.0767	-1.0321	-0.2736
PATH-NP_TIE2_PATHWAY	0.00511666666666667	0.00511666666666667	0.0554764970296582	0.00511666666666667	0.640480005340811	0.00511666666666667	0.00511666666666667	0.00875916573939342	0.00511666666666667	NA	0.178330557440421	0.178330557440421	0.318961585807014	0.16007615167279	0.152304552942938	3.429	3.5756	3.1698	3.5952	1.3859	3.5958	3.5431	3.6714	3.4693	NA	2.6708	2.6771	2.27	2.7857	2.9422
PATH-NP_LEPTIN_PATHWAY	0.382435378386795	0.125554471953943	0.0711353856338961	0.087907682616041	0.671709518133833	0.0711353856338961	0.16007615167279	0.0304261645193261	0.0851516272189349	NA	0.591791206411089	0.31028906407924	0.521696792260692	0.362588385542669	0.223409951284256	2.0244	3.1192	3.1578	3.2007	1.3071	3.5166	2.8405	3.6069	3.3431	NA	1.5857	2.3119	1.7613	2.1136	2.5528
PATH-NP_EGFR1_PATHWAY	0.720809029459454	0.624955038202024	0.543045350493845	0.453695306914636	0.621713567839196	0.181901349032546	0.548717334929184	0.621713567839196	0.306305634557959	0.874882277939973	1	0.620573482069327	0.622927434188077	0.810633844460727	0.717212634273349	1.0739	1.4452	1.6916	1.9391	1.4883	2.7329	1.6923	1.4951	2.3211	0.6272	0.0809	1.5261	1.4705	0.761	1.1905
KINASE-PSP_PLK1	NA	NA	NA	NA	NA	0.97980460265568	0.957135509396637	1	0.874882277939973	0.923593211390951	0.810633844460727	0.933783629405381	0.923593211390951	0.98305893830903	0.717212634273349	NA	NA	NA	NA	NA	-0.1506	-0.244	0.0493	-0.6251	0.4236	0.7959	0.3062	0.3615	-0.1349	1.1636
KINASE-PSP_PKCD/PRKCD	0.720115630807351	0.419988778984421	0.631290204933616	0.621713567839196	0.923593211390951	0.624955038202024	0.521696792260692	0.651211574193852	0.442788461538462	NA	0.717212634273349	0.16007615167279	0.362588385542669	0.362588385542669	0.325660753540208	1.0968	2.0261	1.4003	1.4997	-0.4602	1.4305	1.7573	1.3478	1.922	NA	1.101	2.856	2.1092	2.1963	2.2621
KINASE-PSP_PKACA/PRKACA	0.7648498197329	0.717212634273349	0.87846200939617	0.923593211390951	0.720809029459454	0.874882277939973	0.923593211390951	0.7648498197329	0.717212634273349	0.951714462774914	0.624955038202024	0.923593211390951	0.680397143709029	0.923593211390951	0.673580695467516	0.9351	1.137	0.5663	0.42	1.0811	0.6226	0.4078	-0.9418	1.1344	0.2743	1.4453	0.4654	1.2642	0.3708	1.2588
KINASE-PSP_PAK1	0.793727517985611	1	0.957135509396637	NA	1	0.923593211390951	0.810633844460727	0.87846200939617	0.636323894016331	NA	0.223409951284256	0.673580695467516	0.580427731990232	NA	0.593806106588592	0.8772	-0.0628	0.2377	NA	-0.0027	0.3892	0.7694	0.589	1.3979	NA	2.5223	1.2804	1.6028	NA	1.5794
KINASE-PSP_P38A/MAPK14	0.797294125954294	0.874882277939973	NA	NA	NA	0.923593211390951	NA	NA	NA	0.362588385542669	NA	0.558336156772945	0.325660753540208	NA	0.624955038202024	-0.8652	-0.6318	NA	NA	NA	-0.3456	NA	NA	NA	-2.1766	NA	-1.6622	-2.2571	NA	-1.454
KINASE-PSP_mTOR/MTOR	0.805997086195106	0.7648498197329	0.680397143709029	0.923593211390951	0.87846200939617	0.923593211390951	0.744035871571369	0.745676612299323	0.804679396984925	0.923593211390951	0.213303591018796	0.87846200939617	0.978192738309996	1	0.653598550724638	-0.798	-0.9016	-1.249	-0.3563	0.5726	-0.3563	-1.028	1.0018	-0.8112	-0.4323	-2.6448	-0.5718	-0.1856	0.0762	-1.3242
KINASE-PSP_ERK2/MAPK1	0.792075192479026	0.680397143709029	1	0.810633844460727	0.717212634273349	0.810633844460727	0.717212634273349	0.770617175396726	0.651211574193852	0.923593211390951	0.923593211390951	0.673580695467516	0.933783629405381	0.866842251279468	0.933783629405381	0.876	1.2422	0.0533	0.7811	1.1379	0.7463	1.1102	-0.9029	1.3509	-0.3513	-0.3725	1.2878	-0.304	0.6555	0.3221
KINASE-PSP_ERK1/MAPK3	0.378224192725703	0.874882277939973	0.964969830821641	0.923593211390951	0.97980460265568	0.829107842063729	0.937659083972632	0.804679396984925	0.923593211390951	0.717212634273349	0.621542646121803	0.968045409003439	0.994045525104976	0.951714462774914	0.969202247158691	-2.0645	-0.6183	-0.22	-0.4107	-0.1625	0.7432	-0.3168	0.8121	0.3588	-1.1517	-1.509	0.2195	-0.1109	0.2677	0.1893
KINASE-PSP_CK2A1/CSNK2A1	0.324188085275951	0.223409951284256	0.923593211390951	0.490892272340734	0.223409951284256	0.181901349032546	0.157211948790896	0.223409951284256	0.48968691761211	0.131667664073409	0.181720055710306	0.143066373743426	0.362588385542669	0.223409951284256	0.16007615167279	2.3139	2.6363	-0.4029	1.8533	2.5899	2.8792	3.0045	2.5338	1.8678	3.2711	2.8378	3.178	2.1617	2.5306	2.9106
KINASE-PSP_Chk1/CHEK1	NA	0.617149854627757	NA	NA	0.633826667903869	NA	0.488111533232769	NA	0.717212634273349	0.490892272340734	0.620573482069327	NA	0.507332635197533	0.874882277939973	0.558336156772945	NA	-1.5476	NA	NA	-1.4126	NA	-1.8844	NA	-1.131	-1.8441	-1.5382	NA	-1.7823	-0.6175	-1.6624
KINASE-PSP_CDK2	0.978192738309996	1	0.745676612299323	1	0.805997086195106	0.810633844460727	0.93229536885299	0.753029508074105	0.717212634273349	0.810633844460727	0.923593211390951	0.521696792260692	0.497453703703704	0.624955038202024	0.362588385542669	0.178	0.0463	-0.9868	-0.0246	0.7877	0.7754	0.3407	0.9865	1.1224	0.7741	0.3755	1.7559	1.8522	1.4382	2.0909
KINASE-PSP_CDK1	0.804679396984925	0.682594529755665	0.923593211390951	0.810633844460727	0.7648498197329	0.685273436333882	0.745676612299323	0.449250493975725	0.543045350493845	0.7648498197329	0.7648498197329	0.101089159067882	0.16007615167279	0.176165485581851	0.16007615167279	0.8052	1.2392	0.4571	0.7654	0.9266	1.2135	1.007	1.9506	1.6894	0.9267	0.9089	3.518	2.9658	2.8409	2.995
KINASE-PSP_AMPKA1/PRKAA1	0.259560948720241	0.16007615167279	0.362588385542669	0.362588385542669	0.453695306914636	0.517699809145337	0.362588385542669	0.717212634273349	0.223409951284256	0.362588385542669	0.153666914061826	0.125554471953943	0.0711353856338961	0.176165485581851	0.101089159067882	2.4746	2.9092	2.1364	2.1427	1.9451	1.7892	2.1284	1.1083	2.5845	2.2187	3.0361	3.2037	3.4321	2.779	3.3021
