id	fdr.pvalue.2min_vs_0min	fdr.pvalue.5min_vs_0min	fdr.pvalue.5min_vs_2min	2min_vs_0min	5min_vs_0min	5min_vs_2min
PERT-PSP_THROMBIN	0.632258710452543	0.0375682657261822	0.00188695677417482	0.992	-2.1411	-2.4519
PERT-PSP_PHORBOL_ESTER	0.203182002432104	0.349919674869405	0.849425354413395	2.0681	1.5532	0.3476
PERT-PSP_NOCODAZOLE	0.260746228807903	0.11241784849533	0.00863213811420983	1.9651	2.49	3.323
PERT-PSP_INSULIN	0.0455911823647295	0.256916996047431	0.302579811995075	2.2577	1.7847	-1.67
PERT-PSP_EGF	0.360925545278063	0.922165498927328	0.176451405353476	1.5107	0.1762	-2.1897
PATH-NP_TSLP_PATHWAY	0.26574714709318	0.802469135802469	0.0208333333333333	1.7862	-0.5574	-2.6372
PATH-NP_TIE2_PATHWAY	0.952349950396825	0.0334058114251828	0.0013	-0.105	-2.1378	-2.62
PATH-NP_LEPTIN_PATHWAY	0.632258710452543	0.0334058114251828	0.0013	0.9876	-2.2103	-2.7943
PATH-NP_EGFR1_PATHWAY	0.349319469595187	0.231723237597911	0.00188695677417482	1.6967	-2.0319	-3.7396
KINASE-PSP_PLK1	NA	NA	0.538595487659202	NA	NA	1.0979
KINASE-PSP_PKCD/PRKCD	0.812334082091076	0.282958219043887	0.713049062612667	0.5536	1.7309	-0.7391
KINASE-PSP_PKACA/PRKACA	0.0586595011153924	0.360925545278063	0.521414755457309	-2.6462	-1.5215	1.1772
KINASE-PSP_PAK1	0.349919674869405	0.349919674869405	0.498070155522761	1.5972	1.588	1.2293
KINASE-PSP_P38A/MAPK14	0.0334058114251828	0.0375682657261822	0.534239891913531	-2.6822	-2.6602	-1.1021
KINASE-PSP_mTOR/MTOR	0.812334082091076	0.42231516519507	0.402044598553237	-0.4434	1.3328	1.412
KINASE-PSP_ERK2/MAPK1	0.176451405353476	0.212236351789623	0.847835719154737	-2.2867	-2.1366	0.3567
KINASE-PSP_ERK1/MAPK3	0.203182002432104	0.417650531286895	0.349919674869405	2.0492	1.3853	1.5932
KINASE-PSP_CK2A1/CSNK2A1	0.351756092566046	0.869186541458751	0.812334082091076	1.5751	0.2914	-0.546
KINASE-PSP_Chk1/CHEK1	0.812334082091076	0.545152959872864	0.809943806943207	-0.4301	-1.0512	-0.5276
KINASE-PSP_CDK2	0.0490597327493648	0.0334058114251828	0.0082004440855874	2.9743	3.3224	3.2352
KINASE-PSP_CDK1	0.351756092566046	0.0013	0.0013	1.5669	4.5908	4.2563
KINASE-PSP_AMPKA1/PRKAA1	0.0334058114251828	0.203182002432104	0.0013	-2.5705	1.967	3.3423
