id	fdr.pvalue.2min_vs_0min	fdr.pvalue.5min_vs_0min	fdr.pvalue.5min_vs_2min	2min_vs_0min	5min_vs_0min	5min_vs_2min
PERT-PSP_THROMBIN	0.63159729137622	0.0332107091763744	0.00372770545391983	1.0046	-2.124	-2.3956
PERT-PSP_PHORBOL_ESTER	0.20976976976977	0.351787856286057	0.771780859820842	2.0996	1.5276	0.5775
PERT-PSP_NOCODAZOLE	0.270782447570117	0.100026763013515	0.00863729984718623	1.8991	2.4548	3.2567
PERT-PSP_INSULIN	0.0565805396913017	0.246457792855717	0.292379993286338	2.2514	1.7796	-1.7102
PERT-PSP_EGF	0.351787856286057	0.874821494943172	0.175053406123902	1.5479	0.2845	-2.2351
PATH-NP_TSLP_PATHWAY	0.269246312386341	0.704828488671283	0.021150056942461	1.8017	-0.6964	-2.618
PATH-NP_TIE2_PATHWAY	0.960814790575916	0.0324545636109447	0.001625	-0.0802	-2.1194	-2.4929
PATH-NP_LEPTIN_PATHWAY	0.63159729137622	0.0332107091763744	0.001625	0.988	-2.2186	-2.6675
PATH-NP_EGFR1_PATHWAY	0.337439950410662	0.22617118550884	0.001625	1.6887	-2.0427	-3.6869
KINASE-PSP_PLK1	NA	NA	0.530606739707835	NA	NA	1.1111
KINASE-PSP_PKCD/PRKCD	0.786924939467312	0.292379993286338	0.704828488671283	0.5553	1.6906	-0.7663
KINASE-PSP_PKACA/PRKACA	0.0624628492173568	0.351637526347361	0.530606739707835	-2.6807	-1.6111	1.1723
KINASE-PSP_PAK1	0.351787856286057	0.337439950410662	0.443828046443274	1.5692	1.6116	1.3312
KINASE-PSP_P38A/MAPK14	0.0324545636109447	0.0345777378475506	0.539660443958338	-2.6912	-2.7062	-1.0776
KINASE-PSP_mTOR/MTOR	0.824690990812347	0.372750942551047	0.380920946273643	-0.3881	1.4893	1.4219
KINASE-PSP_ERK2/MAPK1	0.198636577338975	0.198636577338975	0.868067067302276	-2.2166	-2.1848	0.3161
KINASE-PSP_ERK1/MAPK3	0.216128725126154	0.421788142537594	0.307018594126028	2.0781	1.3709	1.6546
KINASE-PSP_CK2A1/CSNK2A1	0.351787856286057	0.923283082077052	0.745727272727273	1.571	0.192	-0.7037
KINASE-PSP_Chk1/CHEK1	0.771780859820842	0.548912167606769	0.767349575489111	-0.5224	-1.0535	-0.5778
KINASE-PSP_CDK2	0.0565805396913017	0.021150056942461	0.0081510834670947	2.8796	3.318	3.1319
KINASE-PSP_CDK1	0.351787856286057	0.00218018380626551	0.001625	1.5527	4.5179	4.1702
KINASE-PSP_AMPKA1/PRKAA1	0.0324545636109447	0.216128725126154	0.00218018380626551	-2.5797	1.8764	3.2592
