id	fdr.pvalue.tcell_rep1_0min	fdr.pvalue.tcell_rep2_0min	fdr.pvalue.tcell_rep3_0min	fdr.pvalue.tcell_rep4_0min	fdr.pvalue.tcell_rep5_0min	fdr.pvalue.tcell_rep1_2min	fdr.pvalue.tcell_rep2_2min	fdr.pvalue.tcell_rep3_2min	fdr.pvalue.tcell_rep4_2min	fdr.pvalue.tcell_rep5_2min	fdr.pvalue.tcell_rep1_5min	fdr.pvalue.tcell_rep2_5min	fdr.pvalue.tcell_rep3_5min	fdr.pvalue.tcell_rep4_5min	fdr.pvalue.tcell_rep5_5min	tcell_rep1_0min	tcell_rep2_0min	tcell_rep3_0min	tcell_rep4_0min	tcell_rep5_0min	tcell_rep1_2min	tcell_rep2_2min	tcell_rep3_2min	tcell_rep4_2min	tcell_rep5_2min	tcell_rep1_5min	tcell_rep2_5min	tcell_rep3_5min	tcell_rep4_5min	tcell_rep5_5min
PERT-PSP_WORTMANNIN	0.333665984183428	0.236386518509424	0.951562441092039	0.0395041734147253	NA	1	0.968048429183852	0.919762783393643	0.905350065027559	0.735096483830246	0.43459041847714	0.783892597110365	0.66550805137007	0.781306023732144	0.676438268983496	2.2614	2.5919	0.5531	3.5238	NA	-0.1241	-0.4965	-0.6259	-0.641	-1.0717	-1.9505	-0.9532	-1.2734	-0.9647	-1.264
PERT-PSP_VIRUS_INFECTION	0.956502074619385	0.593734553574789	0.770223967081849	0.637205485875044	NA	0.529320271148668	0.495524624232758	0.392772768166803	0.44716615762461	0.282060018543785	0.82723295515771	0.426064014508412	0.369138997759481	0.32861791062506	0.389318890056283	-0.5407	-1.5212	-0.9726	-1.4005	NA	1.675	1.7891	2.0503	1.8675	2.4431	0.8409	1.9801	2.1041	2.2666	2.0539
PERT-PSP_VANADATE	0.732213629558762	0.368116824517904	1	0.371372491738027	NA	0.869029930690672	0.794163761659938	1	0.511665043816942	0.51096367740134	0.371372491738027	0.978626983180246	0.599180725830293	0.664247364435406	0.70355535669727	-1.0916	-2.1268	0.3264	-2.0908	NA	0.7389	0.9246	0.4125	1.7401	1.741	2.0973	0.4583	1.4833	1.2985	1.1686
PERT-PSP_UV	0.400522378597692	0.10866745749308	0.757884282867111	0.0760009151223976	0.0274561302239668	0.70355535669727	0.722941804131852	0.604605412198177	0.68889898643299	0.880762844931602	1	1	1	0.929126085727087	1	-2.0323	-3.1894	-1.0132	-3.4308	-4.1786	-1.1535	-1.1018	-1.4508	-1.1936	-0.7001	-0.3025	-0.1576	0.2332	0.5779	0.4117
PERT-PSP_U0126	0.66250057239674	0.371429348861255	0.646219686162625	0.124070449791573	0.526226293924084	0.276223558865885	0.249915822831819	0.296361749784139	0.390618669160044	0.306513039611808	0.686050155389107	0.372054991659671	0.705509498781153	0.388904787212297	0.761122924790375	1.2853	2.081	-1.3505	3.1128	1.6917	-2.4894	-2.5479	-2.3393	-2.0796	-2.3623	1.2021	-2.1003	-1.1467	-2.0462	-0.9883
PERT-PSP_TORIN1	0.589242250930767	0.176373242385853	0.527891417996932	0.536582884274786	0.475956409561261	0.125538455916277	0.321501508750754	0.125833333333333	0.184327150173818	0.692239814397427	0.308397345929604	0.330674124018985	0.276919371703145	0.253128102044868	0.365138142387972	1.5052	-2.8744	-1.6828	-1.6791	-1.8349	-3.0735	-2.3043	-3.07	-2.8808	-1.1983	-2.3019	-2.266	-2.4673	-2.5344	-2.171
PERT-PSP_TNF	0.350506731498275	0.0535135682462535	0.882147940061798	NA	NA	1	1	0.905264897677074	1	0.83823303030303	0.64363221188476	0.829404017359137	0.853915204798488	0.609636215813089	0.841390173684415	-2.1724	-3.3757	-0.6966	NA	NA	0.2232	0.3502	0.6677	0.3532	0.8166	1.3835	0.8356	0.7925	1.4428	0.8208
PERT-PSP_THROMBIN	0.564470778346351	0.228705164442692	1	NA	NA	0.823227779009671	0.74065034848593	0.68889898643299	0.69329136494144	0.471636493349182	0.371597618061969	0.692239814397427	0.649972056742649	0.593734553574789	0.677325902968821	-1.5766	-2.6198	0.057	NA	NA	0.873	1.0663	1.2156	1.1885	1.851	2.1199	1.1883	1.3373	1.5259	1.2428
PERT-PSP_SU11274	0.234598775167369	1	0.860662736411377	0.944695694764487	0.834920336281904	0.355300119084821	0.247309842007989	0.302180504180719	0.3500187377325	0.350506731498275	0.0274561302239668	0.191545794679924	0.155566021471012	0.209888800635425	0.195162714769035	2.7046	-0.1426	-0.7511	0.5633	-0.834	-2.1264	-2.5153	-2.3416	-2.1959	-2.2152	-3.3666	-2.8514	-2.8334	-2.7005	-2.7818
PERT-PSP_SIRNA	0.66550805137007	0.163814368729833	0.198583360251027	0.190670229888548	0.335651110116098	0.19813841165477	0.234598775167369	0.249589583286482	0.133966036227019	0.487009261298436	0.10866745749308	0.350506731498275	0.195003870631673	0.192143001413856	0.176373242385853	-1.2772	-2.8038	-2.7722	-2.8555	-2.2524	-2.7529	-2.6154	-2.5114	-3.0728	-1.7901	-3.1191	-2.2249	-2.8321	-2.7998	-2.8872
