id	fdr.pvalue.2min_vs_0min	fdr.pvalue.5min_vs_0min	fdr.pvalue.5min_vs_2min	2min_vs_0min	5min_vs_0min	5min_vs_2min
PERT-PSP_WORTMANNIN	0.0126513317191283	0.00357023889852151	0.0896752036498662	-2.9662	-3.3499	-2.193
PERT-PSP_VIRUS_INFECTION	0.0287385570503743	0.0910059844445666	0.949378508420209	2.853	2.4407	-0.3129
PERT-PSP_VANADATE	0.0571234865452945	0.073420725388601	0.620509300966619	2.6336	2.5074	1.0822
PERT-PSP_UV	0.00133404255319149	0.0126513317191283	0.00133404255319149	3.9908	3.6694	4.374
PERT-PSP_U0126	0.00133404255319149	0.552365431850906	0.557585334626094	-3.8364	-1.226	1.2588
PERT-PSP_TORIN1	0.337300704486466	0.922924078509185	0.644863348450262	-1.7267	-0.3965	1.0348
PERT-PSP_TNF	0.0173855336832006	0.0255953051597196	0.0366481622458493	3.174	3.1228	2.1699
PERT-PSP_THROMBIN	0.0553575007874467	0.0737269451244545	0.510182324135812	2.6431	2.5362	1.3481
PERT-PSP_SU11274	0.00202448758185129	0.0063538710985002	0.0896752036498662	-3.3676	-3.3846	-2.2337
PERT-PSP_SIRNA	0.913487109458161	0.664832722339289	0.644863348450262	0.4534	0.9813	-1.03
PERT-PSP_SII_ANGIOTENSIN_2	0.00133404255319149	0.00133404255319149	0.00133404255319149	5.9323	5.9592	3.6893
PERT-PSP_SERUM	0.00133404255319149	0.00202448758185129	0.822364019834643	4.1793	4.4392	0.6579
PERT-PSP_RAPAMYCIN	0.780107705431505	0.567844592416726	0.93310370741483	0.7314	1.1896	-0.358
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.0511278101164191	0.0764707528911211	0.510182324135812	2.6268	2.5151	1.3391
PERT-PSP_PHORBOL_ESTER	0.00133404255319149	0.0396875851421306	0.924232804232804	5.3847	3.1004	-0.4105
PERT-PSP_PDGF	NA	NA	0.467685694132052	NA	NA	1.4511
PERT-PSP_PD98059	0.00133404255319149	0.0126513317191283	0.0785661676789899	-3.38	-3.1452	-2.0898
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.0582324095400847	0.073420725388601	0.505435566721095	2.6263	2.5419	1.366
PERT-PSP_OKADAIC_ACID	0.0164164366345744	0.00998698438125751	0.132703731911653	3.0607	3.4823	2.0366
PERT-PSP_NOCODAZOLE	0.0254574215489156	0.971529177864772	0.0553575007874467	3.3451	-0.2735	-2.541
PERT-PSP_LY294002	0.0363875359631598	0.0220440881763527	0.114979845077071	-2.9073	-2.8001	-2.1319
PERT-PSP_LPS	0.00750783113486795	0.0048502382573179	0.050897775372543	3.2569	3.1003	2.2306
PERT-PSP_LPA	0.0422329596612895	0.012267978033732	0.110255895583073	2.8185	3.2041	2.1798
PERT-PSP_LITHIUM	1	0.334390887644911	1	-0.1497	-1.7177	-0.0261
PERT-PSP_LAPATINIB	0.00202448758185129	0.00998698438125751	0.432823455302366	-3.7693	-3.3407	-1.5388
PERT-PSP_IONOMYCIN	0.00133404255319149	0.0281008403361345	0.536792909514612	3.5216	3.1121	-1.3084
PERT-PSP_IONIZING_RADIATION	0.00133404255319149	0.0063538710985002	0.30778996546821	3.7879	3.1072	1.7173
PERT-PSP_INSULIN	0.00133404255319149	0.00133404255319149	0.549800282428888	5.3263	4.5752	1.2279
PERT-PSP_IL_6	0.00202448758185129	0.0134001429970313	0.932490169781472	3.4755	2.8012	0.3748
PERT-PSP_IL_2	0.00133404255319149	0.00357023889852151	0.073420725388601	3.4224	3.1699	2.0457
PERT-PSP_IL_1B	0.0582324095400847	0.0678012109014231	0.0553575007874467	2.6294	2.5736	2.2536
PERT-PSP_IL_1A	0.0678012109014231	0.0764707528911211	0.5016	2.6583	2.5757	1.3847
PERT-PSP_IGF_1	0.00202448758185129	0.0243515704154002	0.922924078509185	3.8703	3.2531	-0.3892
PERT-PSP_HYDROXYUREA	0.644863348450262	0.144042372557998	0.0903478554542384	-1.1106	-1.9495	-2.4842
PERT-PSP_HGF	0.00133404255319149	0.00133404255319149	0.0190598976820203	3.5105	3.7674	2.8809
PERT-PSP_H2O2	0.924232804232804	0.839758945856492	0.747998797912739	0.4013	-0.6038	-0.8519
PERT-PSP_GM_CSF	0.00133404255319149	0.0111310337481581	0.159933057933506	4.0367	3.4434	-2.2346
PERT-PSP_GENISTEIN	0.00750783113486795	0.0511278101164191	0.856718881867397	3.0796	2.7073	0.5753
PERT-PSP_GEFITINIB	0.0287385570503743	0.0243515704154002	0.831052631578947	-2.8903	-2.861	-0.6267
PERT-PSP_FORSKOLIN	0.00357023889852151	0.00133404255319149	0.620509300966619	3.6016	3.4675	1.0965
PERT-PSP_FGF1	0.00133404255319149	0.00133404255319149	0.0789159027500996	3.3749	3.1387	2.0865
PERT-PSP_EXERCISE	0.00750783113486795	0.0295828674149669	0.510182324135812	3.3793	2.9679	1.3331
PERT-PSP_ETOPOSIDE	0.187230059297023	0.177401993914941	0.448695047490448	2.0077	1.8569	1.4963
PERT-PSP_EPO	0.0134001429970313	0.00750783113486795	0.126688029017601	2.9602	3.2412	2.001
PERT-PSP_EGF	0.00133404255319149	0.00133404255319149	0.167686503952817	6.0108	4.2952	2.2352
PERT-PSP_CISPLATIN	0.0487438828028029	0.0835930927773104	0.981381381381381	2.7125	2.5255	-0.2716
PERT-PSP_BACTERIAL_INFECTION	0.0553575007874467	0.0705515763962521	0.505435566721095	2.6146	2.5692	1.3819
PERT-PSP_AZD8055	0.352996827116545	0.808493361445097	0.915443551238832	-1.7107	-0.6918	0.4565
PERT-PSP_ANTI_IGM	0.0340711491088248	0.0764707528911211	0.867353847446361	2.7376	2.5608	0.5532
PERT-PSP_ANTI_CD3	0.00133404255319149	0.00133404255319149	0.505435566721095	5.2551	4.1547	1.3668
PERT-PSP_ANISOMYCIN	0.0134001429970313	0.24985701631769	0.409200528460683	3.3422	1.9731	-1.5687
PERT-PSP_AMINO_ACIDS	0.129126667651258	0.798115541202137	0.610085723571951	2.3647	0.6956	-1.1104
PERT-PSP_AG1478	0.00133404255319149	0.0048502382573179	0.0840643329683023	-3.3538	-3.1677	-2.0276
PERT-PSP_4_HT	0.0134001429970313	0.0696405704180569	0.763693232921214	3.0692	2.5717	-0.8441
PERT-P100-PRM_VORINOSTAT	0.6494344628115	0.527434749980955	0.758667635026331	1.0222	1.286	0.7742
PERT-P100-PRM_VEMURAFENIB	NA	NA	0.134614379084967	NA	NA	2.1138
PERT-P100-PRM_TAXOL	NA	NA	0.559612189409699	NA	NA	1.2223
PERT-P100-PRM_STAUROSPORINE	0.924232804232804	0.562511850216348	0.732183292848614	-0.3839	1.22	-0.8831
PERT-P100-PRM_SP600125	0.747845432539319	0.737372465279257	0.557585334626094	-0.8715	-0.9145	-1.2664
PERT-P100-PRM_SEMAGACESTAT	0.0722235140616724	0.324090083943995	0.664219145100253	2.4821	1.7701	-0.9932
PERT-P100-PRM_SELUMETINIB	1	0.949378508420209	0.144614742988218	-0.0513	-0.2995	-2.3089
PERT-P100-PRM_SCH_900776	0.338911267564752	0.514277735799468	0.857933388115279	-1.7312	-1.3296	-0.5788
PERT-P100-PRM_SALERMIDE	1	1	0.550091939304289	NaN	NaN	1.2603
PERT-P100-PRM_ROSCOVITINE	0.23144666687213	0.0896752036498662	0.211366791798683	-1.7751	-2.3511	-1.9522
PERT-P100-PRM_PS-1145	0.532452061822613	0.0163878112619996	0.25739695743027	1.308	2.8312	1.8032
PERT-P100-PRM_NILOTINIB	0.772256757650363	0.315839901538589	0.470308933060408	-0.7826	-1.7919	-1.4659
PERT-P100-PRM_METHYLSTAT	NA	NA	0.527434749980955	NA	NA	1.3152
PERT-P100-PRM_LOSMAPIMOD	1	0.857933388115279	0.134273704987232	-0.0022	-0.5781	-2.3168
PERT-P100-PRM_LENALIDOMIDE	0.0359387308791196	0.0553575007874467	0.323342319465135	2.8496	2.7964	1.7481
PERT-P100-PRM_KN-93	0.0338076266363119	0.0840643329683023	0.613737225453108	2.5788	2.5536	-1.1505
PERT-P100-PRM_IPI145	1	0.919218679838348	0.467685694132052	-0.0355	0.4308	-1.4967
PERT-P100-PRM_ETOPOSIDE	NA	NA	0.644863348450262	NA	NA	-1.0935
PERT-P100-PRM_EPZ-5687	0.414741092110837	0.0976233453670277	0.778795037611502	1.5488	2.2811	0.7739
PERT-P100-PRM_DMSO	1	0.915972230685493	0.57204876525445	-0.1648	0.4215	-1.1769
PERT-P100-PRM_DECITABINE	1	1	0.644863348450262	NaN	NaN	1.0437
PERT-P100-PRM_DACTOLISIB	1	0.873885425882478	0.0895503875968992	-0.0314	-0.5146	-2.4757
PERT-P100-PRM_BMS-345541	0.210239225929856	0.191487393118513	1	2.0795	2.1434	0.1582
PERT-P100-PRM_ALPELISIB	0.839376320692199	0.315268844165219	0.672649017378594	-0.7159	1.6934	-1.0549
PERT-P100-DIA_VORINOSTAT	0.924232804232804	0.747998797912739	0.788504380161136	-0.3783	-0.8855	-0.7191
PERT-P100-DIA_VANDETANIB	0.422137458777791	0.5016	0.796498905908096	-1.5287	-1.3924	-0.8095
PERT-P100-DIA_UNC-0646	0.550091939304289	0.227973439987574	0.947409625813859	1.2642	1.9324	-0.3205
PERT-P100-DIA_UNC-0321	0.497047948508096	0.991300121885037	0.920682331076596	-1.4111	-0.2288	-0.3962
PERT-P100-DIA_TRICHOSTATIN_A	0.857933388115279	0.566519272110203	0.199679418969522	-0.5608	1.2268	-1.9433
PERT-P100-DIA_STAUROSPORINE	1	0.736675172601757	0.796517140773158	-0.0608	-0.8263	-0.7061
PERT-P100-DIA_SEMAGACESTAT	0.0243515704154002	0.0695995937908023	0.82455098915286	2.8548	2.5086	-0.6475
