id	fdr.pvalue.2min_vs_0min	fdr.pvalue.5min_vs_0min	fdr.pvalue.5min_vs_2min	2min_vs_0min	5min_vs_0min	5min_vs_2min
PERT-PSP_WORTMANNIN	0.0110724348761096	0.00809517968845824	0.0968837084673097	-2.9677	-3.2713	-2.1609
PERT-PSP_VIRUS_INFECTION	0.0239281210592686	0.09291	0.946160495372108	2.851	2.4798	-0.3582
PERT-PSP_VANADATE	0.0494912494912495	0.0776192337763878	0.627001215707641	2.6258	2.4978	1.0731
PERT-PSP_UV	0.00366853311333837	0.00618385884627144	0.00120576923076923	3.933	3.7216	4.3875
PERT-PSP_U0126	0.00120576923076923	0.538898223870527	0.53660457189869	-3.72	-1.2766	1.2948
PERT-PSP_TORIN1	0.333459226144597	0.902166965894456	0.616823198021503	-1.7274	-0.4532	1.0955
PERT-PSP_TNF	0.00703934398253973	0.0267891052258457	0.0383052282998827	3.1659	3.1021	2.1609
PERT-PSP_THROMBIN	0.0494822783452144	0.0697959183673469	0.497038068688571	2.671	2.569	1.3776
PERT-PSP_SU11274	0.00504323346068771	0.00366853311333837	0.085354347978166	-3.2469	-3.3286	-2.1982
PERT-PSP_SIRNA	0.901522975929978	0.685154138247864	0.662599145820622	0.477	0.9481	-0.9896
PERT-PSP_SII_ANGIOTENSIN_2	0.00120576923076923	0.00120576923076923	0.00120576923076923	5.8779	5.825	3.6436
PERT-PSP_SERUM	0.00120576923076923	0.00120576923076923	0.840551594403629	4.1316	4.5925	0.6068
PERT-PSP_RAPAMYCIN	0.802261305218678	0.598914018423117	0.902166965894456	0.6751	1.1222	-0.4511
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.0538673106594217	0.0750412616908124	0.497038068688571	2.663	2.5821	1.3698
PERT-PSP_PHORBOL_ESTER	0.00120576923076923	0.035860128341512	0.902166965894456	5.4572	3.2057	-0.4854
PERT-PSP_PDGF	NA	NA	0.479128856624319	NA	NA	1.4247
PERT-PSP_PD98059	0.00214402954452195	0.00366853311333837	0.0697959183673469	-3.3607	-3.1531	-2.0883
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.0548284174702212	0.0695954090619573	0.502752737713675	2.651	2.5165	1.3676
PERT-PSP_OKADAIC_ACID	0.0110724348761096	0.0102398693477595	0.12083025131249	3.0428	3.3928	2.1012
PERT-PSP_NOCODAZOLE	0.0144887090810842	1	0.0412112676056338	3.3686	-0.0823	-2.6015
PERT-PSP_LY294002	0.0318468102397399	0.0254502295797424	0.0984701259116995	-2.8972	-2.7678	-2.1215
PERT-PSP_LPS	0.00618385884627144	0.00120576923076923	0.0579879285401285	3.3438	3.1255	2.165
PERT-PSP_LPA	0.0318468102397399	0.0119529659369066	0.108691719802831	2.7925	3.21	2.139
PERT-PSP_LITHIUM	1	0.325439644085147	1	-0.044	-1.7482	-0.0334
PERT-PSP_LAPATINIB	0.00120576923076923	0.0118691778086128	0.437692307692308	-3.7618	-3.3898	-1.5151
PERT-PSP_IONOMYCIN	0.00366853311333837	0.0210545756764244	0.531253804017042	3.4762	3.0991	-1.3257
PERT-PSP_IONIZING_RADIATION	0.00120576923076923	0.00504323346068771	0.2715376074011	3.7567	3.1557	1.7352
PERT-PSP_INSULIN	0.00120576923076923	0.00120576923076923	0.541310569858612	5.3813	4.6435	1.2509
PERT-PSP_IL_6	0.00120576923076923	0.0126046273621112	0.912427208936805	3.4387	2.815	0.4442
PERT-PSP_IL_2	0.00120576923076923	0.00504323346068771	0.0649719169923654	3.4171	3.1783	2.0642
PERT-PSP_IL_1B	0.0509505703422053	0.0704832564668137	0.0412112676056338	2.6868	2.5362	2.2179
PERT-PSP_IL_1A	0.0524938623322901	0.0701325165950801	0.497038068688571	2.6727	2.5857	1.3589
PERT-PSP_IGF_1	0.00214402954452195	0.0118691778086128	0.918900622799892	3.7781	3.2922	-0.4249
PERT-PSP_HYDROXYUREA	0.592403628117914	0.145986543942438	0.0929804115298221	-1.204	-1.9592	-2.5239
PERT-PSP_HGF	0.00120576923076923	0.00120576923076923	0.0103443155758666	3.4664	3.696	2.9082
PERT-PSP_H2O2	0.973221463022508	0.837290364927197	0.742410880578112	0.2834	-0.5988	-0.8848
PERT-PSP_GM_CSF	0.00120576923076923	0.0118691778086128	0.164018112561	4.0779	3.5531	-2.2492
PERT-PSP_GENISTEIN	0.00504323346068771	0.0509505703422053	0.840673521077249	3.0567	2.6489	0.6109
PERT-PSP_GEFITINIB	0.0360649514244793	0.0237413980441869	0.822249294332557	-2.8428	-2.7837	-0.6454
PERT-PSP_FORSKOLIN	0.00120576923076923	0.00618385884627144	0.562798391466788	3.6249	3.4957	1.2098
PERT-PSP_FGF1	0.00120576923076923	0.00120576923076923	0.0718569979716024	3.4706	3.1675	2.0773
PERT-PSP_EXERCISE	0.00819604271876811	0.0290899080752719	0.510134410818834	3.4593	2.978	1.3133
PERT-PSP_ETOPOSIDE	0.195274160814274	0.156377811066496	0.422961934564473	1.9526	1.8838	1.5366
PERT-PSP_EPO	0.0110724348761096	0.00366853311333837	0.112485318762056	2.9939	3.2877	2.0267
PERT-PSP_EGF	0.00120576923076923	0.00120576923076923	0.163453982167145	6.0072	4.4131	2.2408
PERT-PSP_CISPLATIN	0.0412112676056338	0.0929804115298221	0.955440167639899	2.7199	2.5029	-0.3174
PERT-PSP_BACTERIAL_INFECTION	0.0485389251613531	0.0768238890963406	0.497038068688571	2.6595	2.5452	1.3656
