id	fdr.pvalue.bcell_rep1_0min	fdr.pvalue.bcell_rep2_0min	fdr.pvalue.bcell_rep3_0min	fdr.pvalue.bcell_rep4_0min	fdr.pvalue.bcell_rep5_0min	fdr.pvalue.bcell_rep1_2min	fdr.pvalue.bcell_rep2_2min	fdr.pvalue.bcell_rep3_2min	fdr.pvalue.bcell_rep4_2min	fdr.pvalue.bcell_rep5_2min	fdr.pvalue.bcell_rep1_5min	fdr.pvalue.bcell_rep2_5min	fdr.pvalue.bcell_rep3_5min	fdr.pvalue.bcell_rep4_5min	fdr.pvalue.bcell_rep5_5min	bcell_rep1_0min	bcell_rep2_0min	bcell_rep3_0min	bcell_rep4_0min	bcell_rep5_0min	bcell_rep1_2min	bcell_rep2_2min	bcell_rep3_2min	bcell_rep4_2min	bcell_rep5_2min	bcell_rep1_5min	bcell_rep2_5min	bcell_rep3_5min	bcell_rep4_5min	bcell_rep5_5min
PERT-PSP_THROMBIN	0.657446778573539	0.282136318726026	NA	0.257401140278667	0.212991935333669	0.167221175362148	0.363494320485719	0.139824125004379	0.170293565454856	NA	0.797789228809144	0.564016471333544	0.756817297306752	0.657446778573539	0.454098673537551	1.3125	2.3522	NA	2.4602	2.5587	2.8523	2.1711	2.9779	2.6446	NA	0.8459	1.6424	0.9968	1.3039	1.8902
PERT-PSP_PHORBOL_ESTER	0.930696157465884	0.832558770875692	0.717696741184691	0.930696157465884	0.801859138865127	0.61135646369622	0.930696157465884	0.363494320485719	0.749193705246683	0.717696741184691	0.930696157465884	0.581340280299718	0.717696741184691	0.616663035601436	0.616663035601436	-0.3872	0.6966	1.1227	0.4199	-0.791	1.5262	0.4417	2.1336	0.9973	-1.0964	0.4322	1.6032	1.101	1.4307	1.4492
PERT-PSP_NOCODAZOLE	0.952199956146069	0.564016471333544	0.551833735909823	0.639038950361016	0.717696741184691	0.470981293227498	0.801859138865127	0.229218516674963	0.639038950361016	0.930696157465884	0.61135646369622	0.170293565454856	0.363494320485719	0.139824125004379	0.372791566586603	0.238	1.6249	1.7197	1.3502	1.0682	1.8478	0.7573	2.5532	1.3378	0.4487	1.5	2.755	2.1828	3.0744	2.0982
PERT-PSP_INSULIN	0.274533869157525	0.756817297306752	NA	0.838242216644557	0.930696157465884	0.932557012629092	0.756817297306752	0.930696157465884	1	0.801859138865127	0.533684627906006	1	0.79107794278983	0.982518428753283	0.916907239957633	-2.3919	-0.9895	NA	-0.7118	-0.4024	-0.3359	-0.981	0.4738	-0.0783	-0.8431	-1.7681	-0.0291	-0.8732	-0.1594	-0.5219
PERT-PSP_EGF	1	0.930696157465884	1	0.717696741184691	0.849896268011323	0.717696741184691	0.870363672352984	0.954520609513868	0.717696741184691	0.930696157465884	0.935922935431989	0.892477281727744	0.980629810879396	0.932557012629092	1	0.0585	-0.3711	-0.0976	1.1328	0.6825	1.1288	0.6408	0.2223	1.0801	0.3732	0.3048	0.5561	0.1592	0.3233	-0.1063
PATH-NP_TSLP_PATHWAY	0.581340280299718	0.639038950361016	NA	0.759561272791024	0.886035911308015	0.583372113637371	0.930696157465884	0.786463445591471	0.717696741184691	0.930696157465884	0.61135646369622	1	1	0.734673593073593	0.943436713749805	-1.5818	-1.3511	NA	-0.9486	-0.5623	1.5935	0.4355	0.8767	1.0936	-0.3514	-1.5243	-0.0314	-0.0758	-1.0394	-0.2747
PATH-NP_TIE2_PATHWAY	0.00879782203754119	0.00614	0.0673379860418744	0.00614	0.639038950361016	0.00879782203754119	0.00614	0.00614	0.00614	NA	0.170293565454856	0.170293565454856	0.301492454735328	0.167221175362148	0.14670523138833	3.408	3.6426	3.1341	3.5765	1.3577	3.6717	3.6082	3.6276	3.5336	NA	2.6697	2.7193	2.3421	2.7898	2.9009
PATH-NP_LEPTIN_PATHWAY	0.412957589590963	0.112472236851144	0.0679466607646766	0.119928205669641	0.645178214731128	0.0345533945614983	0.167221175362148	0.0345533945614983	0.104297604892135	NA	0.585051018619813	0.310142641382782	0.532952259976712	0.363494320485719	0.246545171190942	2.0258	3.1042	3.1562	3.1578	1.3312	3.5206	2.9283	3.5799	3.2804	NA	1.5979	2.3107	1.7745	2.1395	2.5259
PATH-NP_EGFR1_PATHWAY	0.727082851726848	0.616663035601436	0.551833735909823	0.443092480991001	0.615688503181853	0.170293565454856	0.551833735909823	0.616663035601436	0.301492454735328	0.870363672352984	1	0.604291384695471	0.616663035601436	0.803238391418915	0.686390864469598	1.053	1.4648	1.6731	1.9601	1.496	2.7948	1.7037	1.4679	2.3157	0.6285	0.0801	1.5443	1.4669	0.7604	1.2314
KINASE-PSP_PLK1	NA	NA	NA	NA	NA	0.985980831973899	0.954520609513868	1	0.87880780840925	0.930696157465884	0.801859138865127	0.935922935431989	0.930696157465884	0.987029545695224	0.717696741184691	NA	NA	NA	NA	NA	-0.15	-0.2429	0.0492	-0.6134	0.4309	0.7872	0.306	0.3627	-0.1319	1.1684
