id	fdr.pvalue.2min_vs_0min	fdr.pvalue.5min_vs_0min	fdr.pvalue.5min_vs_2min	2min_vs_0min	5min_vs_0min	5min_vs_2min
PERT-PSP_THROMBIN	0.563292385227183	0.0269255874673629	0.00368553851387747	1.0958	-2.4602	-2.8343
PERT-PSP_PHORBOL_ESTER	0.196305220883534	0.505254908006989	0.892692767819056	2.1535	1.207	0.2291
PERT-PSP_NOCODAZOLE	0.505254908006989	0.184251454946819	0.0183689075071481	1.1762	2.2059	3.2832
PERT-PSP_INSULIN	0.0847511528064875	0.258441558441558	0.300507059057467	2.3553	1.7715	-1.703
PERT-PSP_EGF	0.468099401922931	0.950985221674877	0.159630957121997	1.3166	0.1025	-2.2587
PATH-NP_TSLP_PATHWAY	0.128237555645488	0.486373330132851	0.0112579176563737	2.0413	-1.2749	-2.483
PATH-NP_TIE2_PATHWAY	0.610210905349794	0.018691051299747	0.001625	-0.8503	-2.6765	-3.0534
PATH-NP_LEPTIN_PATHWAY	0.574298746489537	0.0183689075071481	0.001625	1.0206	-2.7633	-3.3539
PATH-NP_EGFR1_PATHWAY	0.227822862739611	0.1679723627659	0.00259067357512953	2.0513	-2.315	-3.7965
KINASE-PSP_PLK1	NA	NA	0.76254027320797	NA	NA	0.53
KINASE-PSP_PKCD/PRKCD	0.661323584551931	0.505254908006989	0.880634171907757	0.8533	1.1885	-0.3193
KINASE-PSP_PKACA/PRKACA	0.196435604568728	0.466681845780206	0.76254027320797	-2.1075	-1.3685	0.5609
KINASE-PSP_PAK1	0.365686388469139	0.505254908006989	0.563292385227183	1.5768	1.2279	1.0381
KINASE-PSP_P38A/MAPK14	0.018691051299747	0.0348932921373782	0.574298746489537	-2.9221	-2.7365	-0.9649
KINASE-PSP_mTOR/MTOR	0.563292385227183	0.466681845780206	0.466681845780206	0.9744	1.3605	1.3777
KINASE-PSP_ERK2/MAPK1	0.227822862739611	0.32079755206791	0.835258987801361	-2.04	-1.7604	0.4074
KINASE-PSP_ERK1/MAPK3	0.180107835264426	0.252053537922695	0.348731989818555	2.2266	1.8058	1.6334
KINASE-PSP_CK2A1/CSNK2A1	0.468099401922931	0.888630873176844	0.888630873176844	1.3107	0.2819	-0.2529
KINASE-PSP_Chk1/CHEK1	0.563292385227183	0.466681845780206	0.661323584551931	-1.0509	-1.3994	-0.7389
KINASE-PSP_CDK2	0.0117530060573185	0.0204966495861253	0.0183689075071481	3.7624	3.2707	3.1735
KINASE-PSP_CDK1	0.437203420180858	0.001625	0.001625	1.492	4.3625	4.4841
KINASE-PSP_AMPKA1/PRKAA1	0.0508607198748044	0.265746557729241	0.00368553851387747	-2.538	1.7783	3.0892
