id	fdr.pvalue.2min_vs_0min	fdr.pvalue.5min_vs_0min	fdr.pvalue.5min_vs_2min	2min_vs_0min	5min_vs_0min	5min_vs_2min
PERT-PSP_THROMBIN	0.521753255757749	0.0266525844930417	0.0013	1.1969	-2.425	-2.8277
PERT-PSP_PHORBOL_ESTER	0.190319381075184	0.521753255757749	0.845484655442154	2.1803	1.1925	0.3837
PERT-PSP_NOCODAZOLE	0.521753255757749	0.190319381075184	0.0207377866400798	1.0398	2.2049	3.1568
PERT-PSP_INSULIN	0.0856805407628468	0.239062585931914	0.306146295863519	2.4108	1.7997	-1.6913
PERT-PSP_EGF	0.511590912243869	0.89292389354067	0.155067155067155	1.2465	0.206	-2.2881
PATH-NP_TSLP_PATHWAY	0.106899318090654	0.485307383735437	0.0164729734622208	2.0456	-1.3181	-2.4437
PATH-NP_TIE2_PATHWAY	0.611041340765711	0.0173889780631354	0.0013	-0.8541	-2.7039	-2.9353
PATH-NP_LEPTIN_PATHWAY	0.521753255757749	0.0114922206506365	0.0013	1.178	-2.7703	-3.2587
PATH-NP_EGFR1_PATHWAY	0.231864062678714	0.190319381075184	0.003719493004492	2.063	-2.259	-3.7499
KINASE-PSP_PLK1	NA	NA	0.747732501625885	NA	NA	0.5648
KINASE-PSP_PKCD/PRKCD	0.628070944526641	0.521753255757749	0.845484655442154	0.9228	1.1543	-0.3459
KINASE-PSP_PKACA/PRKACA	0.196205046691834	0.430046740094779	0.747732501625885	-2.1156	-1.4704	0.5771
KINASE-PSP_PAK1	0.36595223863604	0.520712024164786	0.521753255757749	1.593	1.2281	1.1189
KINASE-PSP_P38A/MAPK14	0.0207377866400798	0.0340488350774432	0.560077651386145	-2.9819	-2.792	-0.9796
KINASE-PSP_mTOR/MTOR	0.533239606346656	0.43239625167336	0.482218097913323	1.0102	1.4311	1.3434
KINASE-PSP_ERK2/MAPK1	0.231864062678714	0.262561942990185	0.842693009407153	-2.0458	-1.8671	0.4071
KINASE-PSP_ERK1/MAPK3	0.190319381075184	0.256783719074222	0.334749238340755	2.1757	1.7773	1.647
KINASE-PSP_CK2A1/CSNK2A1	0.485307383735437	0.89292389354067	0.868578978885157	1.2838	0.2123	-0.2772
KINASE-PSP_Chk1/CHEK1	0.521753255757749	0.410320641282565	0.628422471272521	-1.0973	-1.5346	-0.781
KINASE-PSP_CDK2	0.0144242504937532	0.0207377866400798	0.0164729734622208	3.8392	3.1997	3.0951
KINASE-PSP_CDK1	0.43239625167336	0.0013	0.0013	1.4306	4.3943	4.4523
KINASE-PSP_AMPKA1/PRKAA1	0.0721789148732982	0.267530487804878	0.00217187917669072	-2.537	1.7626	3.02
