id	fdr.pvalue.tcell_rep1_0min	fdr.pvalue.tcell_rep2_0min	fdr.pvalue.tcell_rep3_0min	fdr.pvalue.tcell_rep4_0min	fdr.pvalue.tcell_rep5_0min	fdr.pvalue.tcell_rep1_2min	fdr.pvalue.tcell_rep2_2min	fdr.pvalue.tcell_rep3_2min	fdr.pvalue.tcell_rep4_2min	fdr.pvalue.tcell_rep5_2min	fdr.pvalue.tcell_rep1_5min	fdr.pvalue.tcell_rep2_5min	fdr.pvalue.tcell_rep3_5min	fdr.pvalue.tcell_rep4_5min	fdr.pvalue.tcell_rep5_5min	tcell_rep1_0min	tcell_rep2_0min	tcell_rep3_0min	tcell_rep4_0min	tcell_rep5_0min	tcell_rep1_2min	tcell_rep2_2min	tcell_rep3_2min	tcell_rep4_2min	tcell_rep5_2min	tcell_rep1_5min	tcell_rep2_5min	tcell_rep3_5min	tcell_rep4_5min	tcell_rep5_5min
PERT-PSP_WORTMANNIN	0.339781106721038	0.226092779671348	0.956291335037903	0.0343803939596326	NA	1	0.971390807355487	0.915236029022583	0.900975524843485	0.753248216101269	0.419760732411279	0.79620107732551	0.664516542312243	0.784580725255454	0.679186868391845	2.1829	2.5694	0.5455	3.4719	NA	-0.124	-0.4909	-0.6218	-0.6452	-1.0397	-1.9485	-0.9389	-1.2828	-0.9588	-1.2479
PERT-PSP_VIRUS_INFECTION	0.950288252427055	0.590028874521373	0.765967336201023	0.643088644514219	NA	0.546661303298471	0.502039770228995	0.411788652920572	0.463079899711846	0.279404675730267	0.827302808580942	0.407554282267793	0.372367007885921	0.353640186407978	0.38250225882756	-0.5436	-1.5128	-0.9832	-1.3427	NA	1.6374	1.7654	1.9955	1.86	2.4422	0.8448	1.9991	2.106	2.1954	2.0675
PERT-PSP_VANADATE	0.735031821048579	0.369337882903774	1	0.357524791937145	NA	0.873780139459652	0.798055061598829	1	0.506803205575877	0.508764465270228	0.366732623213699	0.974606626201948	0.591833697162135	0.669025753993777	0.7075091429597	-1.0824	-2.1234	0.3239	-2.167	NA	0.7318	0.9211	0.4051	1.7624	1.7435	2.114	0.4618	1.4948	1.2837	1.1658
PERT-PSP_UV	0.392950687258972	0.0937657089349958	0.760316230062676	0.067168289054998	0.009909375	0.71172745490982	0.716108737240095	0.590224202309925	0.692068421207733	0.877467307921618	1	1	1	0.932261085962908	0.992209533009185	-2.0407	-3.2298	-1.0073	-3.3238	-4.1421	-1.1232	-1.1128	-1.4796	-1.1798	-0.7192	-0.3043	-0.1587	0.2323	0.5718	0.418
PERT-PSP_U0126	0.666843754349861	0.395845355851238	0.639448843937926	0.135008478495452	0.534225102746187	0.279472808695147	0.25213829376754	0.291431082006998	0.382006848350087	0.302533140509869	0.691823805869758	0.394085273192176	0.717019524859068	0.387394744938284	0.759858284237048	1.2847	2.0572	-1.3834	3.0485	1.6825	-2.481	-2.5012	-2.388	-2.064	-2.3628	1.1998	-2.0575	-1.1346	-2.0721	-0.9955
PERT-PSP_TORIN1	0.59363908567225	0.184349401386263	0.539543860763723	0.535415394192821	0.470823549072709	0.126797181567148	0.329171621086009	0.122703150912106	0.192030521407376	0.676176318521156	0.297464884804583	0.332969379562586	0.257965139712731	0.257285094255385	0.358986070261028	1.4898	-2.792	-1.6649	-1.6664	-1.8393	-3.0794	-2.2881	-3.1064	-2.8379	-1.243	-2.3571	-2.2512	-2.5046	-2.5246	-2.1547
PERT-PSP_TNF	0.353640186407978	0.0641365180891465	0.89157942933656	NA	NA	1	1	0.883683584970369	1	0.839628962406801	0.640099153801434	0.832750930403862	0.840669001202112	0.631996194345471	0.836069132833541	-2.1667	-3.261	-0.6834	NA	NA	0.2211	0.3492	0.6911	0.3433	0.8199	1.378	0.8368	0.7998	1.4216	0.8178
PERT-PSP_THROMBIN	0.564962509485035	0.230191878417373	1	NA	NA	0.814057581080141	0.750289852810769	0.678332104028272	0.681680477349216	0.48797316889968	0.373219489786999	0.682141328768589	0.65525359836649	0.604599211121001	0.681680477349216	-1.5568	-2.5626	0.0571	NA	NA	0.8885	1.0668	1.2486	1.2293	1.8082	2.1106	1.2138	1.3187	1.4711	1.2297
PERT-PSP_SU11274	0.218660992347298	1	0.877467307921618	0.936203786760805	0.82746355200206	0.360851049056254	0.257965139712731	0.297034535459857	0.358049727697479	0.326362477945501	0.0402166193181818	0.178144702670817	0.169523619693044	0.201358902717805	0.193088582225099	2.6421	-0.14	-0.7226	0.573	-0.8411	-2.1562	-2.497	-2.3585	-2.1557	-2.2564	-3.3433	-2.7933	-2.9037	-2.7574	-2.805
PERT-PSP_SIRNA	0.66741867072146	0.178080520536804	0.192030521407376	0.178238747113824	0.336930000884945	0.173478439264571	0.25213829376754	0.257965139712731	0.132973527059244	0.490080211395972	0.11516394626607	0.328326600616392	0.191076184818546	0.184182224254098	0.171319576217584	-1.2843	-2.8009	-2.7753	-2.8249	-2.2532	-2.8163	-2.5831	-2.484	-3.0221	-1.8088	-3.1029	-2.2754	-2.8163	-2.8412	-2.8407
PERT-PSP_SII_ANGIOTENSIN_2	0.305203934825073	0.153702793076318	1	0.296542712066906	0.68141147575374	0.61823431847687	0.716965062908102	0.756890679074979	0.786824165398635	0.481825627905092	0.267658180835978	0.447472608051149	0.344105062820183	0.397233841546743	0.376168173905005	-2.3549	-2.9757	0.3249	-2.371	-1.213	1.4374	1.1149	1.0235	0.9496	1.8031	2.4951	1.8786	2.2342	2.0398	2.0939
PERT-PSP_SERUM	0.220633938925396	1	1	0.750409529919213	0.982348414194314	0.406615060921995	0.297464884804583	0.552701118955994	0.489840500824493	0.563965621107922	0.191817405397247	0.447472608051149	0.824064449064449	0.493479411123907	0.330237446034992	-2.7267	-0.1058	0.1006	-1.0353	-0.4375	1.9971	2.3872	1.6094	1.8001	1.5795	2.8258	1.8901	0.8537	1.8135	2.2529
PERT-PSP_RAPAMYCIN	1	0.28887035925776	0.681930971507219	0.289260254392155	0.850565898290701	0.643088644514219	0.416437645340457	0.481825627905092	0.377455349840324	0.212483297562486	0.500520525355831	0.342163474507688	0.135008478495452	0.464901954749924	0.339781106721038	0.3459	-2.3647	1.2561	-2.3437	0.7762	1.3666	1.9913	1.8112	2.0853	2.6111	1.7654	2.193	2.9251	1.8667	2.2098
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.561047871510993	0.218660992347298	1	NA	NA	0.811517078940033	0.739101341443355	0.678332104028272	0.692068421207733	0.487639058253599	0.373271822328628	0.693316006554043	0.652357610503336	0.595557534701713	0.679385097483513	-1.5748	-2.6326	0.0579	NA	NA	0.8896	1.0714	1.254	1.2118	1.8206	2.1154	1.1875	1.3282	1.4837	1.2513
PERT-PSP_PHORBOL_ESTER	0.0819045454310643	0.41829219469807	1	0.184182224254098	0.284995881015267	0.462585375652873	0.637284022932184	0.904230300552399	0.664516542312243	0.48084802805006	0.344105062820183	0.366732623213699	1	0.494973369579952	0.366733207419009	-3.4564	-2.0127	-0.336	-2.8817	-2.4845	1.8838	1.3753	0.644	1.2824	1.8301	2.2335	2.1296	0.0766	1.7974	2.1172
PERT-PSP_PDGF	NA	NA	NA	NA	NA	0.644839090536555	0.639448843937926	0.539356453126419	0.642250279863697	0.0476738154838419	0.540574921970271	0.0231870281337404	0.59363908567225	0.498995165019971	0.0146123645211236	NA	NA	NA	NA	NA	1.3529	1.3751	1.6589	1.3654	3.4147	1.6623	3.6694	1.5018	1.7811	3.8102
PERT-PSP_PD98059	0.363878331349025	0.0266865279741466	1	0.0425780463242699	NA	0.307578037049598	0.312635766264798	0.511763773797507	0.573917345445237	0.51120604326876	0.195138570706893	0.325265757167125	0.192030521407376	0.305203934825073	0.243326432938422	2.1542	3.2912	-0.0075	3.325	NA	-2.3064	-2.3271	-1.7312	-1.5344	-1.7452	-2.7061	-2.2545	-2.7226	-2.329	-2.5276
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.554197581682532	0.228090766123988	1	NA	NA	0.814057581080141	0.752701154859516	0.681930971507219	0.686481294611851	0.498995165019971	0.366732623213699	0.696328668578709	0.654371444316886	0.58641514580541	0.681680477349216	-1.5898	-2.5965	0.0574	NA	NA	0.8868	1.0574	1.2407	1.2151	1.7915	2.1394	1.1825	1.3453	1.5196	1.2438
PERT-PSP_OKADAIC_ACID	0.362034040735093	0.0711152376338877	0.759008336345563	0.0787295518237709	0.145257570508728	0.856328587201925	1	1	1	1	0.681680477349216	0.98119843144115	0.79620107732551	1	1	-2.1868	-3.2835	-1.0196	-3.3571	-2.9791	-0.7535	-0.2459	-0.1318	0.1559	0.1816	1.2209	-0.4651	0.9355	-0.2556	0.1183
PERT-PSP_NOCODAZOLE	1	0.782584312305227	1	1	1	0.392950687258972	0.400675444241096	0.569550026490279	0.283216210460792	0.29332945837221	0.750289852810769	0.309259000050546	0.877467307921618	0.558861705379715	0.639448843937926	0.058	0.9484	0.3625	-0.1978	-0.0283	2.0154	2.0297	1.5429	2.458	2.4086	1.0364	2.3073	0.6973	1.6155	1.3761
PERT-PSP_LY294002	0.230191878417373	0.690913312990577	1	0.988112121183848	0.829440330560987	0.580429582368405	0.500059136605559	0.564962509485035	0.642640653357532	0.642640653357532	NA	0.358953841532608	0.366940196772591	0.398327109834032	0.401714811412892	2.5581	-1.2112	-0.3922	-0.4523	-0.8355	-1.5197	-1.7577	-1.5887	-1.3597	-1.3693	NA	-2.1593	-2.131	-2.0212	-2.0277
PERT-PSP_LPS	0.289260254392155	0.0641365180891465	0.871603981398385	0.0474137028741287	NA	0.746054842303109	0.752701154859516	0.877922262298112	0.989126203090136	0.748217895765721	0.366732623213699	0.737482265314365	0.583965428869949	0.63293695380774	0.681930971507219	-2.4363	-3.302	-0.7464	-3.2988	NA	1.0596	1.037	0.7111	0.4357	1.0438	2.1457	1.0975	1.5348	1.4127	1.229
PERT-PSP_LPA	0.595557534701713	0.333585321100917	1	0.294125387197253	0.307035928143713	1	1	1	0.71500197417317	0.68141147575374	0.376516021056084	1	0.678332104028272	0.708113593382432	0.811517078940033	-1.4792	-2.2778	-0.1479	-2.3723	-2.3312	0.1029	0.38	0.1929	1.1293	1.2208	2.0936	0.3437	1.2459	1.1448	0.8926
PERT-PSP_LITHIUM	0.61823431847687	0.642250279863697	1	0.426754251276343	0.729970986920333	0.703408142783761	0.533227718566147	0.756685003642803	0.595557534701713	0.538598243616469	0.747111511991343	0.596960899614365	1	0.760478019632949	0.411788652920572	1.4318	1.3561	NaN	1.9599	1.0943	1.1911	1.6892	1.0312	1.501	1.695	1.0548	1.4787	NaN	1.025	1.9942
PERT-PSP_LAPATINIB	0.231944520186872	0.995015995233731	0.547410815164801	0.77510070488451	NA	0.0266865279741466	0.009909375	0.0343803939596326	0.0146123645211236	0.0402166193181818	0.009909375	0.009909375	0.0146123645211236	0.009909375	0.009909375	2.5494	0.4104	-1.6329	0.9839	NA	-3.7133	-3.9421	-3.4554	-3.6881	-3.6159	-3.9381	-3.9262	-4.0018	-3.7433	-3.9643
PERT-PSP_IONOMYCIN	0.850565898290701	0.457866387148394	0.556791870699132	0.344472683650855	NA	0.0762636267037479	0.0374910587785553	0.0895040322580645	0.0343803939596326	0.0231870281337404	0.009909375	0.128151497590435	0.0425780463242699	0.12663290649292	0.0266865279741466	-0.7844	-1.8839	1.6024	-2.199	NA	3.0772	3.3582	3.0631	3.3445	3.5323	3.533	2.9576	3.3413	2.9334	3.3662
PERT-PSP_IONIZING_RADIATION	0.995015995233731	0.225127616088678	0.752701154859516	0.191817405397247	0.257965139712731	0.760316230062676	0.469177783869786	0.664516542312243	0.376168173905005	0.201358902717805	0.376108536184811	0.473350523584155	0.134848586584301	0.546661303298471	0.153469923124404	-0.4264	-2.6184	-1.033	-2.8749	-2.518	1.0021	1.842	1.2742	2.1203	2.7051	2.0979	1.8238	3.0015	1.6178	3.0135
PERT-PSP_INSULIN	0.0146123645211236	0.350728187837418	1	0.246664535342932	0.498995165019971	0.580348618209413	0.598118641029089	0.703408142783761	0.717019524859068	0.767606790883656	0.218723985215278	0.78116035455278	1	0.739796753224946	0.680685981739079	-4.329	-2.1889	-0.3608	-2.5585	-1.7532	1.5423	1.4707	1.1432	1.104	0.9804	2.6868	0.9636	0.2249	1.0613	1.2132
PERT-PSP_IL_6	0.0711152376338877	0.0668645652245219	0.305203934825073	0.0146123645211236	0.009909375	1	1	0.666843754349861	0.654802056960639	0.725387712085098	0.877467307921618	0.664516542312243	0.291988950276243	0.801134086092614	0.956291335037903	-3.3065	-3.2194	-2.3622	-3.4694	-3.7774	0.2185	-0.1057	-1.2971	-1.3232	-1.1213	0.7202	-1.2919	-2.3957	-0.9091	-0.5526
PERT-PSP_IL_2	0.354204409806585	0.0374910587785553	1	0.0455093429776974	NA	0.307035928143713	0.302457129823543	0.516487519754578	0.573917345445237	0.51120604326876	0.201358902717805	0.316656883348494	0.171319576217584	0.299094719441279	0.230191878417373	-2.1812	-3.2851	0.0076	-3.2681	NA	2.3287	2.3249	1.713	1.556	1.7371	2.675	2.2807	2.7721	2.3406	2.5325
PERT-PSP_IL_1B	0.569477420660349	0.224690571293425	1	NA	NA	1	1	1	1	0.94745446615632	0.739728692495819	1	1	0.949054824054824	0.951414875582455	-1.581	-2.5974	0.0567	NA	NA	-0.15	-0.0902	0.2143	0.116	0.5672	1.0651	0.1209	0.3889	0.5551	0.5393
PERT-PSP_IL_1A	0.558861705379715	0.225325408702036	1	NA	NA	0.812669979193735	0.74749654800719	0.678332104028272	0.693093111846625	0.48133510981003	0.363878331349025	0.696726848425085	0.655554738860787	0.595557534701713	0.679186868391845	-1.5921	-2.5722	0.0569	NA	NA	0.8929	1.056	1.2471	1.2016	1.8213	2.1064	1.179	1.3089	1.4716	1.2301
PERT-PSP_IGF_1	0.103452450146682	0.850717484595642	0.819977962770298	0.718934154609613	0.634935396285653	0.801134086092614	0.851401178657155	1	1	0.681680477349216	0.625810505792402	0.61719247769421	0.726707141582922	1	0.438811297717532	-3.3452	-0.779	-0.8682	-1.1161	-1.4084	0.8981	0.7729	0.1427	-0.0018	1.2205	1.4238	1.4388	-1.1035	0.0415	1.9257
PERT-PSP_HYDROXYUREA	0.277530523106255	0.243326432938422	0.958184315463004	0.922817722413369	NA	0.957551075268817	0.966619071757387	NA	0.745870101316219	0.592013284498934	0.0266865279741466	0.748217895765721	0.900975524843485	0.807172294506925	0.737482265314365	2.451	2.5499	0.538	0.6222	NA	0.5388	0.5073	NA	1.0597	1.4811	-3.2663	1.0628	0.6865	0.9181	1.0845
PERT-PSP_HGF	0.289260254392155	0.0771255446047121	0.971390807355487	0.0621206026475536	NA	0.642640653357532	0.568421750385509	0.655554738860787	0.821258637901751	0.726707141582922	0.195138570706893	0.454671135726478	0.339781106721038	0.389998919723267	0.419760732411279	-2.4728	-3.1928	-0.4885	-3.4019	NA	1.3669	1.553	1.3028	0.8626	1.1183	2.7267	1.9159	2.2201	2.0419	1.9859
PERT-PSP_H2O2	0.886843946596203	0.966587710808385	0.522848401669812	NA	0.132673198284579	1	1	0.912491547183313	0.881093103256584	0.912491547183313	0.693058277129476	0.917931377044169	0.98119843144115	1	1	0.7046	0.5176	-1.7336	NA	-2.8831	-0.13	-0.169	-0.6362	0.7152	0.6393	-1.1691	-0.6264	0.4687	0.3328	0.1334
