id	fdr.pvalue.2min_vs_0min	fdr.pvalue.5min_vs_0min	fdr.pvalue.5min_vs_2min	2min_vs_0min	5min_vs_0min	5min_vs_2min
PERT-PSP_WORTMANNIN	0.0909389376085314	0.0426192364336694	0.11514005044471	-2.6719	-2.8287	-2.0003
PERT-PSP_VIRUS_INFECTION	0.0849506012930918	0.28961482203803	1	2.6165	1.9496	0.2417
PERT-PSP_VANADATE	0.331086408178159	0.359435255805982	0.75918747116032	1.7891	1.7219	-1.0259
PERT-PSP_UV	0.0463035678261621	0.0939215724585295	0.00562394887319206	3.158	2.7624	3.9792
PERT-PSP_U0126	0.00562394887319206	0.760801088382012	1	-3.3178	-0.8711	0.1849
PERT-PSP_TORIN1	0.704112689545582	0.634758391268262	0.320925894149584	-0.9866	-1.1698	1.8032
PERT-PSP_TNF	0.0601024473534434	0.0939215724585295	0.0850448734911962	2.5789	2.6071	1.9126
PERT-PSP_THROMBIN	0.331086408178159	0.331614217265731	1	1.794	1.7922	0.1313
PERT-PSP_SU11274	0.017436137019672	0.00782498003194888	0.104520800159236	-3.3816	-3.5534	-1.9833
PERT-PSP_SIRNA	1	1	0.984141067815095	0.3475	0.0516	-0.3483
PERT-PSP_SII_ANGIOTENSIN_2	0.00216206896551724	0.00216206896551724	0.00216206896551724	5.2023	5.2421	3.4822
PERT-PSP_SERUM	0.00216206896551724	0.00216206896551724	0.671755373772006	4.1381	4.4992	1.0593
PERT-PSP_RAPAMYCIN	0.936826722443468	0.874759520068142	0.797205010327137	0.469	0.6009	-0.753
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.323140812675696	0.339255649091715	1	1.8066	1.7844	0.132
PERT-PSP_PHORBOL_ESTER	0.00216206896551724	0.0559321142919041	0.651640251828	5.0131	3.0862	1.1373
PERT-PSP_PDGF	NA	NA	0.760801088382012	NA	NA	0.8643
PERT-PSP_PD98059	0.0195726482386177	0.0499361231117309	0.188064112536323	-2.6888	-2.7594	-1.852
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.328184491564773	0.33800805090248	1	1.8095	1.7838	0.1323
PERT-PSP_OKADAIC_ACID	0.26873946713901	0.122157399690439	0.218579134710653	1.9772	2.5133	1.8334
PERT-PSP_NOCODAZOLE	0.029716243390184	0.903257537776142	0.228163669279433	3.4581	-0.5357	-2.1115
PERT-PSP_LY294002	0.0342369260810023	0.00973965452963838	0.112510766580534	-2.9362	-3.3361	-2.0222
PERT-PSP_LPS	0.051876885477527	0.0771381299847276	0.183594223549313	2.5387	2.6702	1.8591
PERT-PSP_LPA	0.188064112536323	0.0737704212378004	0.34899037056572	2.2512	2.5731	1.6209
PERT-PSP_LITHIUM	1	0.768975903614458	1	0.1	-0.8562	0.3344
PERT-PSP_LAPATINIB	0.010860302217788	0.0168805528134255	0.829573794677393	-3.4281	-3.2946	-0.6985
PERT-PSP_IONOMYCIN	0.0370956529456138	0.153972524201195	0.323140812675696	2.9169	2.3972	-1.7151
PERT-PSP_IONIZING_RADIATION	0.00562394887319206	0.0400591783316263	0.112510766580534	3.6994	2.8542	1.9597
PERT-PSP_INSULIN	0.00216206896551724	0.00216206896551724	0.398418826990256	4.7507	4.3524	1.6349
PERT-PSP_IL_6	0.00216206896551724	0.098086373903665	1	3.5592	2.4719	0.0706
PERT-PSP_IL_2	0.010860302217788	0.0441233661613449	0.196106808314382	2.7058	2.7439	1.8469
PERT-PSP_IL_1B	0.331614217265731	0.331086408178159	0.248777194089694	1.7865	1.8072	1.7943
PERT-PSP_IL_1A	0.325685444398892	0.331614217265731	1	1.8277	1.8161	0.1333
PERT-PSP_IGF_1	0.00216206896551724	0.010860302217788	1	3.8301	3.3832	-0.239
PERT-PSP_HYDROXYUREA	0.983353900503291	0.2415277448537	0.220178282009724	-0.387	-1.8004	-2.1238
PERT-PSP_HGF	0.00973965452963838	0.00973965452963838	0.017436137019672	3.0007	3.4801	2.8476
PERT-PSP_H2O2	0.391981712812921	1	0.760801088382012	1.5902	-0.0707	-1.0189
PERT-PSP_GM_CSF	0.00216206896551724	0.0665669872333649	0.122157399690439	3.3758	2.8828	-2.4383
PERT-PSP_GENISTEIN	0.112510766580534	0.240140549611915	1	2.5348	2.0789	-0.2415
PERT-PSP_GEFITINIB	0.038372406139585	0.010860302217788	0.874942773630089	-2.9876	-3.2676	-0.6116
PERT-PSP_FORSKOLIN	0.0193658981051071	0.0259506739449347	0.220178282009724	3.2526	3.2585	1.9923
PERT-PSP_FGF1	0.017436137019672	0.0479411979814232	0.189404737786525	2.7559	2.7964	1.8772
PERT-PSP_EXERCISE	0.0363063331348025	0.0745380847345957	0.916355108422269	3.0279	2.7113	0.5151
PERT-PSP_ETOPOSIDE	0.0587454670285364	0.189404737786525	0.338613861386139	2.7614	1.8905	1.6672
PERT-PSP_EPO	0.0909389376085314	0.0479411979814232	0.13702527457986	2.7578	2.7417	1.9079
PERT-PSP_EGF	0.00216206896551724	0.00216206896551724	0.0193658981051071	5.9916	5.3135	3.4824
PERT-PSP_CISPLATIN	0.215495078564319	0.330524599075836	0.565379809694678	2.1567	1.8135	-1.3782
PERT-PSP_BACTERIAL_INFECTION	0.323140812675696	0.331614217265731	1	1.8573	1.7772	0.1314
PERT-PSP_AZD8055	0.653319036995824	0.472574482935969	0.845638903996747	-1.1198	-1.449	0.7689
PERT-PSP_ANTI_IGM	0.182685589334359	0.256567205585438	0.75918747116032	2.2631	2.005	-1.0386
PERT-PSP_ANTI_CD3	0.00216206896551724	0.0426192364336694	0.0468476481889988	4.7315	3.1711	3.07
PERT-PSP_ANISOMYCIN	0.0871289723188337	0.493063283315346	0.19986906418597	2.6228	1.435	-1.8628
PERT-PSP_AMINO_ACIDS	0.331086408178159	0.481095242334448	0.51596615720524	1.7974	1.467	-1.4252
PERT-PSP_AG1478	0.021621648250415	0.0451127819548872	0.188064112536323	-2.7196	-2.7541	-1.8799
PERT-PSP_4_HT	0.0342369260810023	0.189404737786525	1	2.8893	2.2295	0.3615
PERT-P100-PRM_VORINOSTAT	0.766481445689988	0.21767681001481	0.247502011802575	0.8418	2.1185	2.0187
PERT-P100-PRM_VEMURAFENIB	NA	NA	0.112510766580534	NA	NA	2.3932
PERT-P100-PRM_TAXOL	NA	NA	0.470542928451347	NA	NA	1.5224
PERT-P100-PRM_STAUROSPORINE	0.963917945528979	0.641997593261131	0.760801088382012	0.4259	1.1662	-0.8923
PERT-P100-PRM_SP600125	0.918769602490533	0.856185075128675	1	-0.5198	-0.6862	-0.2535
PERT-P100-PRM_SEMAGACESTAT	0.112510766580534	0.331086408178159	0.834274309305409	2.4401	1.7979	-0.7014
PERT-P100-PRM_SELUMETINIB	0.812947042875243	0.972515771712418	0.11549266568795	0.7478	0.3985	-2.4487
PERT-P100-PRM_SCH_900776	0.653319036995824	0.864537444933921	1	-1.1329	-0.6494	-0.1481
PERT-P100-PRM_SALERMIDE	1	1	0.490153603781016	NaN	NaN	1.4387
PERT-P100-PRM_ROSCOVITINE	0.248777194089694	0.232101083476976	0.493063283315346	-1.903	-1.9401	-1.4299
PERT-P100-PRM_PS-1145	0.215495078564319	0.0243980738362761	0.2415277448537	2.0976	2.9218	1.891
PERT-P100-PRM_NILOTINIB	0.918769602490533	0.671755373772006	1	-0.5225	-1.0452	0.3202
PERT-P100-PRM_METHYLSTAT	NA	NA	0.404518152128793	NA	NA	1.5972
PERT-P100-PRM_LOSMAPIMOD	0.838385854271858	1	0.114157925984564	0.6984	0.1709	-2.4864
