id	fdr.pvalue.2min_vs_0min	fdr.pvalue.5min_vs_0min	fdr.pvalue.5min_vs_2min	2min_vs_0min	5min_vs_0min	5min_vs_2min
PERT-PSP_WORTMANNIN	0.0835926063305292	0.0391610357063391	0.117909963717932	-2.7133	-2.8094	-2.0253
PERT-PSP_VIRUS_INFECTION	0.0835665733706517	0.267157842157842	0.956961681721533	2.6052	1.9875	0.4157
PERT-PSP_VANADATE	0.341281611843523	0.347440633033741	0.748168145564032	1.7626	1.7588	-0.9909
PERT-PSP_UV	0.0510370031978072	0.0879776405806774	0.00341721031376204	3.2309	2.7848	3.8687
PERT-PSP_U0126	0.00232222222222222	0.736904633965731	1	-3.3097	-0.9355	0.2347
PERT-PSP_TORIN1	0.748168145564032	0.608904045218372	0.333244987683577	-0.8868	-1.2193	1.7639
PERT-PSP_TNF	0.0597677186055736	0.0852067559697146	0.06565778673693	2.5314	2.6525	2.01
PERT-PSP_THROMBIN	0.342186039948992	0.330243384398128	0.986168454106682	1.7645	1.8306	0.3141
PERT-PSP_SU11274	0.0298824006005076	0.00563418250438064	0.0933544303797468	-3.3608	-3.658	-2.015
PERT-PSP_SIRNA	0.964095658576009	1	0.987494537068893	0.4018	0.0372	-0.3068
PERT-PSP_SII_ANGIOTENSIN_2	0.00232222222222222	0.00232222222222222	0.00563418250438064	5.2845	5.0105	3.4174
PERT-PSP_SERUM	0.00232222222222222	0.00232222222222222	0.743526154910894	4.2356	4.5335	0.9404
PERT-PSP_RAPAMYCIN	0.914311731085925	0.881170849083616	0.826792769656262	0.5352	0.5908	-0.7187
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.344572368421053	0.336726998491704	0.986168454106682	1.7594	1.8223	0.3151
PERT-PSP_PHORBOL_ESTER	0.00232222222222222	0.0548179857652628	0.689611245402666	4.903	3.0875	1.0687
PERT-PSP_PDGF	NA	NA	0.748168145564032	NA	NA	0.8963
PERT-PSP_PD98059	0.0213008937437934	0.0494018168436773	0.175749670436412	-2.6683	-2.768	-1.8949
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.342186039948992	0.330243384398128	0.987468340491135	1.7719	1.821	0.3116
PERT-PSP_OKADAIC_ACID	0.319917916633245	0.127438342755976	0.186858155377044	1.8666	2.4914	1.8897
PERT-PSP_NOCODAZOLE	0.0352200768697298	0.913367977350075	0.178006012024048	3.3083	-0.5411	-2.2956
PERT-PSP_LY294002	0.0340746980421994	0.00958492094733262	0.108764311093565	-2.9711	-3.2956	-1.9873
PERT-PSP_LPS	0.0565866236905721	0.0721378181415697	0.180839025178838	2.5032	2.6582	1.8679
PERT-PSP_LPA	0.183344576668435	0.0706379383185467	0.36440053298557	2.2641	2.5937	1.611
PERT-PSP_LITHIUM	1	0.775448759861011	1	0.0714	-0.8466	0.2758
PERT-PSP_LAPATINIB	0.0164070626255225	0.0205946274408904	0.8243164275435	-3.474	-3.3028	-0.7322
PERT-PSP_IONOMYCIN	0.0391610357063391	0.160987529426246	0.341281611843523	2.9072	2.34	-1.704
PERT-PSP_IONIZING_RADIATION	0.00341721031376204	0.0352200768697298	0.111178045515395	3.6151	2.7965	1.9565
PERT-PSP_INSULIN	0.00232222222222222	0.00341721031376204	0.423104343549488	4.6064	4.4952	1.5606
