protein name	count
ALS2CR7	1
Actin gamma 1	1
Bruton`s tyrosine kinase	1
CD84	1
CDC2	1
CDC37	1
Chaperonin containing T complex polypeptide 1, subunit 7	1
Clathrin, heavy polypeptide	1
Cytoplasmic FMR1 interacting protein 1	1
Docking protein 3	1
Eukaryotic translation initiation factor 2A	1
Ezrin	1
FK506 binding protein 4	1
Flightless 1	1
Fumarase	1
Glutamate oxaloacetate transaminase, mitochondrial	1
Glyoxylate reductase	1
Golgi phosphoprotein 4	1
HGAL	1
HSP90B	1
Heat shock 70 kDa protein 8	1
Helicase ATP binding 1	1
Heterogeneous nuclear ribonucleoprotein M	1
Hypothetical protein FLJ10769	1
Ig alpha	1
Interferon gamma receptor 1	1
Junction adhesion molecule 1	1
Lymphocyte cytosolic protein 1	1
Lyn	1
Malate dehydrogenase mitochondrial	1
Myosin heavy chain 9, nonmuscle	1
NTBA	1
PAG	4
PTPRF interacting protein binding protein 1	1
Pentatricopeptide repeat domain 3	1
Phosphatidylinositol 3 kinase, catalytic subunit, delta	1
Proteasome 26S subunit, non-ATPase, 14	1
Protein THEMIS2	1
Protein kinase C delta	1
Protein tyrosine phosphatase, receptor type, alpha	1
RAB7	1
Ribosomal protein S10	1
SET protein	1
SHC (Src homology 2 domain containing) transforming protein 1	1
SHIP1	1
SHIP2	1
Signaling lymphocytic activation molecule	1
T Complex 1	1
Tensin 3	1
UNQ5783	1
Vigilin	1
Zinc finger protein 147	1
